month	ct_avg_Tdx收盘价	ct_avg_Tdx平均成交价	deviate_avg_100_ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx平均成交价	ct_avg_noise_avg_Tdx收盘价	ct_avg_noise_avg_Tdx平均成交价
1999-03	1149.59	6.96	0.44	-0.3	-70.96	-77.41	
1999-04	1160.6	6.82	0.44	-0.31	-68.39	-75.37	
1999-05	1147	6.28	0.4	-0.37	-76.7	-83.66	
1999-06	1466.33	8.1	0.76	-0.18	12.91	-29.18	
1999-07	1568.42	8.18	0.85	-0.18	63.8	0.97	
1999-08	1617.13	8.75	0.88	-0.12	89.2	28.04	
1999-09	1617.21	9.15	0.85	-0.08	87.99	47.61	
1999-10	1504.74	7.08	0.69	-0.29	63.5	15.63	
1999-11	1459.43	6.33	0.62	-0.36	42.25	-35.47	
1999-12	1405.53	7.07	0.54	-0.29	20.32	-40.22	
2000-01	1463.27	8.4	0.58	-0.16	20.77	-7.24	
2000-02	1656.5	9.72	0.76	-0.03	55.84	38.15	
2000-03	1722.82	9.72	0.8	-0.03	72.75	59.51	
2000-04	1817.69	10.01	0.87	0	85.09	78.35	
2000-05	1804.16	10.26	0.83	0.03	84.47	88.25	
2000-06	1924.53	10.1	0.92	0.02	97.16	82.47	
2000-07	1971.71	8.9	0.93	-0.09	97.19	46.73	
2000-08	2066.15	9.47	0.99	-0.02	98.68	41.34	
2000-09	1940.8	9.94	0.85	0.04	72.7	60.8	
2000-10	1940.83	10.65	0.84	0.13	60.92	76.16	
2000-11	2054.72	10.54	0.93	0.13	83.44	66.48	
2000-12	2065.83	9.02	0.92	-0.03	85.03	29.89	
2001-01	2088.88	9.91	0.92	0.07	88.77	41.58	
2001-02	1955.35	9.49	0.77	0.03	44	-0.55	
2001-03	2036.78	8.12	0.82	-0.12	52.88	-44.64	
2001-04	2135	7.97	0.88	-0.13	85.46	-64.92	
2001-05	2185.52	9.16	0.91	0	92.31	-40.92	
2001-06	2213.97	9.8	0.92	0.09	92.6	-5.57	
2001-07	2138.42	8.92	0.84	0	73.62	-16.24	
2001-08	1909.03	7.88	0.63	-0.1	9.94	-64.71	
2001-09	1818.36	6.53	0.54	-0.25	-31.12	-84.6	
2001-10	1666.54	6.65	0.41	-0.23	-60.62	-86.66	
2001-11	1675	6.89	0.41	-0.19	-78.17	-80.72	
2001-12	1685.34	7.86	0.4	-0.08	-76.7	-53.57	
2002-01	1472.17	6.58	0.22	-0.22	-92.32	-76.74	
2002-02	1514.77	6.95	0.25	-0.17	-87.32	-72.95	
2002-03	1628.06	7.78	0.33	-0.06	-69.9	-36.56	
