month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2019-12	2.72	-0.02	
2020-01	2.71	-0.03	
2020-02	2.54	-0.09	
2020-03	2.68	-0.05	
2020-04	2.46	-0.13	
2020-05	2.5	-0.12	
2020-06	2.5	-0.13	
2020-07	3.42	0.19	
2020-08	4.44	0.52	
2020-09	5.44	0.84	
2020-10	7.39	1.45	
2020-11	8.31	1.69	
2020-12	9.17	1.9	
2021-01	13.27	3.05	
2021-02	12.14	2.58	
2021-03	9.47	1.73	
2021-04	10.53	1.97	
2021-05	10.65	1.93	
2021-06	13.24	2.53	
2021-07	15.38	2.97	
2021-08	19.04	3.71	
2021-09	18.5	3.42	
2021-10	19.8	3.54	
2021-11	19.51	3.32	
2021-12	16.92	2.64	
2022-01	14.16	1.98	
2022-02	12.31	1.55	
2022-03	9.48	0.94	
2022-04	7.95	0.61	
2022-05	9.8	0.96	
2022-06	12.17	1.39	
2022-07	11.15	1.16	
2022-08	10.52	1	
2022-09	9.62	0.81	
2022-10	8.71	0.62	
2022-11	9.52	0.75	
2022-12	9.76	0.77	
2023-01	9.5	0.7	
2023-02	10.48	0.85	
2023-03	9.45	0.65	
2023-04	8.75	0.51	
2023-05	8.34	0.43	
2023-06	7.74	0.32	
2023-07	8.36	0.42	
2023-08	8.82	0.48	
2023-09	8.61	0.44	
2023-10	9.34	0.55	
2023-11	9.15	0.5	
2023-12	8.27	0.35	
2024-01	7.37	0.19	
2024-02	7.04	0.13	
2024-03	7.63	0.22	
2024-04	8.14	0.29	
2024-05	8.62	0.35	
2024-06	8.25	0.28	
2024-07	8.15	0.26	
2024-08	7.32	0.12	
2024-09	7.89	0.2	
2024-10	9.12	0.37	
2024-11	8.88	0.32	
2024-12	8.8	0.3	
2025-01	8.22	0.2	
