month	ct_avg_Tdx收盘价	ct_avg_前复权价格	deviate_avg_100_ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价	deviate_avg_100_ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
1999-04	8.38	4.04	-0.3	-69.93	0.44	-69.72	
1999-05	8.92	4.3	-0.26	-46.47	0.52	-46.34	
1999-06	11.97	5.81	0	10.5	1.02	15.83	
1999-07	12.55	6.05	0.05	42.45	1.06	46.39	
1999-08	11.72	6.14	-0.02	49.8	1.06	66.76	
1999-09	10.99	5.88	-0.08	41.33	0.93	61.32	
1999-10	9.75	5.21	-0.19	13.78	0.69	40.23	
1999-11	10.96	5.86	-0.09	26.83	0.87	52.92	
1999-12	10.47	5.59	-0.13	20.54	0.76	48.55	
2000-01	10.36	5.86	-0.15	-15.37	0.81	47.6	
2000-02	12.39	7.11	0.02	30.93	1.15	79.14	
2000-03	13.23	7.59	0.09	71.35	1.25	85.68	
2000-04	12.77	7.32	0.05	77.32	1.13	85.89	
2000-05	11.63	6.67	-0.05	52.13	0.92	65.97	
2000-06	12.59	7.23	0.03	70.71	1.04	80.88	
2000-07	13.79	7.91	0.13	86.69	1.19	92.35	
2000-08	13.99	8.06	0.14	86.18	1.19	88.39	
2000-09	12.6	7.31	0.04	53.88	0.97	58.46	
2000-10	12.91	7.48	0.07	47.9	0.98	51.37	
2000-11	13.82	8.01	0.16	78.29	1.1	81.78	
2000-12	14.02	8.12	0.19	82.48	1.1	83.12	
2001-01	15.06	8.73	0.29	92.28	1.22	92.92	
2001-02	14.05	8.14	0.21	76.98	1.05	78.08	
2001-03	14.45	8.37	0.25	83.84	1.07	84.29	
2001-04	15.02	8.7	0.32	92.86	1.12	93.37	
2001-05	14.53	8.42	0.29	76.04	1.03	76.44	
2001-06	14.33	8.31	0.29	51.16	0.98	50.93	
2001-07	14.44	8.37	0.32	56.49	0.97	56.78	
2001-08	14.45	8.42	0.33	37.26	0.96	41.15	
2001-09	14.89	8.73	0.38	75.38	1.01	80.4	
2001-10	13.59	7.97	0.26	11.9	0.81	27.78	
2001-11	13.16	7.72	0.22	-41.64	0.73	-30.07	
2001-12	13.27	7.78	0.24	-55.7	0.73	-45.41	
2002-01	11.94	7.01	0.12	-82.01	0.54	-80.8	
2002-02	12.59	7.38	0.18	-78.66	0.61	-78.12	
2002-03	13.11	7.69	0.23	-62.71	0.66	-62.12	
2002-04	12.55	7.36	0.19	-77.48	0.57	-75.45	
2002-05	11.78	6.91	0.12	-93.35	0.46	-92.26	
2002-06	11.9	6.93	0.13	-87.61	0.46	-87.99	
2002-07	12.5	7.39	0.19	-60.56	0.53	-53.42	
2002-08	11.99	7.15	0.14	-85.27	0.47	-73.46	
2002-09	11.61	6.92	0.1	-94.47	0.41	-87.95	
2002-10	11.11	6.63	0.05	-95.39	0.33	-93.4	
2002-11	10.47	6.24	-0.02	-94.13	0.24	-93.2	
2002-12	9.82	5.86	-0.08	-96.55	0.16	-95.98	
2003-01	9.73	5.8	-0.09	-89.82	0.14	-89.82	
2003-02	10.15	6.05	-0.05	-73.99	0.18	-73.69	
2003-03	11.23	6.69	0.05	-40.05	0.29	-39.2	
2003-04	12.73	7.6	0.18	4.64	0.44	7.1	
2003-05	10.88	8.16	0	12.32	0.53	35.83	
2003-06	6.57	7.95	-0.4	-66.92	0.47	43.88	
2003-07	6.21	7.51	-0.43	-86.84	0.38	41.65	
2003-08	6.52	7.89	-0.4	-78.87	0.43	63.43	
2003-09	6.05	7.32	-0.44	-90.67	0.31	37.18	
2003-10	5.99	7.25	-0.45	-88.92	0.29	18.05	
2003-11	5.95	7.19	-0.46	-90	0.26	4.29	
2003-12	6.17	7.47	-0.44	-69.29	0.3	18.52	
2004-01	7.54	9.12	-0.31	-31.11	0.56	64.01	
2004-02	8.21	9.94	-0.25	2.1	0.68	85.85	
2004-03	8.44	10.21	-0.24	25.62	0.7	92.16	
2004-04	8.74	10.57	-0.21	34.91	0.73	90.22	
2004-05	6.94	9.17	-0.38	9.04	0.48	63.39	
2004-06	4.84	8.84	-0.57	-38.84	0.41	40.42	
2004-07	5.19	9.48	-0.54	-47.4	0.49	49.63	
2004-08	5.35	9.78	-0.52	-42.25	0.52	67.21	
2004-09	5.18	9.46	-0.54	-55.48	0.45	34.09	
2004-10	5.58	10.19	-0.5	-34.21	0.54	69.81	
2004-11	5.1	9.32	-0.54	-62.46	0.4	23.42	
2004-12	5.06	9.24	-0.55	-79.46	0.37	-5.78	
2005-01	5.54	10.11	-0.5	-39.29	0.48	38.39	
2005-02	5.96	10.89	-0.46	-0.14	0.58	77.68	
2005-03	5.62	10.26	-0.49	-2.51	0.47	68.63	
2005-04	5.75	10.51	-0.47	14.2	0.5	78.95	
2005-05	5.05	9.23	-0.54	-18.8	0.3	36.45	
2005-06	4.6	8.7	-0.58	-50.08	0.22	-13.72	
2005-07	3.36	9.5	-0.69	-85.71	0.32	-13.99	
2005-08	3.79	10.7	-0.64	-87.97	0.48	42.2	
2005-09	3.71	10.48	-0.65	-83.16	0.44	56.13	
2005-10	3.84	10.49	-0.63	-77.23	0.43	56.81	
2005-11	3.9	11.13	-0.62	-72.32	0.51	85.51	
2005-12	4.12	11.62	-0.59	-53.87	0.56	85.92	
2006-01	4.62	13.04	-0.54	-22.66	0.74	94.47	
2006-02	5.41	15.29	-0.45	9.93	1.01	98.27	
2006-03	5.7	16.09	-0.42	29.7	1.09	94.56	
2006-04	6.64	18.76	-0.32	54.55	1.4	94.91	
2006-05	6.2	17.48	-0.36	53.1	1.2	81.8	
2006-06	5.48	15.48	-0.43	40.95	0.93	60.35	
2006-07	5.91	16.87	-0.38	60.85	1.07	71.22	
2006-08	6.14	17.72	-0.35	65.18	1.14	74.61	
2006-09	7.18	20.79	-0.24	90.69	1.47	92.52	
2006-10	7.65	22.15	-0.18	93.44	1.58	93.96	
2006-11	9.89	28.65	0.06	98.78	2.24	99.07	
2006-12	13.52	39.41	0.44	99.72	3.3	99.74	
2007-01	16.89	48.91	0.79	98.35	4.08	98.35	
2007-02	15.53	44.96	0.63	87.26	3.49	87.26	
2007-03	15.91	46.05	0.66	86.49	3.41	86.04	
2007-04	18.07	52.4	0.87	95.45	3.8	95.49	
2007-05	19.27	73.32	0.97	92.06	5.32	99.9	
2007-06	19.13	83.58	0.93	91.75	5.73	97.87	
2007-07	23.14	100.76	1.3	96.68	6.53	97.32	
2007-08	33.1	145.62	2.22	98.3	8.84	98.21	
2007-09	31.47	137.62	1.99	86.47	7.53	85.45	
2007-10	33.44	146.16	2.12	91.96	7.34	88.59	
2007-11	34.12	149.1	2.12	87.34	6.86	86.12	
2007-12	30.15	131.77	1.71	65.4	5.52	62.68	
2008-01	27.92	122.03	1.47	40.22	4.71	38.31	
2008-02	25.84	112.91	1.25	14.23	4.03	13.33	
2008-03	23.17	101.24	1	-12.67	3.32	-10.2	
2008-04	23.31	101.21	0.99	-22.86	3.15	-20.24	
2008-05	21.21	92.71	0.79	-42.1	2.67	-41.61	
2008-06	13.3	73.7	0.12	-61.28	1.85	-58.84	
2008-07	8.98	63.13	-0.24	-78.22	1.39	-74.69	
2008-08	7.32	51.45	-0.38	-91.33	0.91	-89.37	
2008-09	5.96	41.94	-0.49	-94.12	0.54	-92.86	
2008-10	6.41	45.07	-0.45	-84.64	0.63	-82.28	
2008-11	6.38	44.85	-0.45	-83.84	0.6	-82.46	
2008-12	7.21	50.69	-0.37	-59.67	0.78	-59.59	
2009-01	6.9	48.53	-0.4	-60.65	0.68	-60.48	
2009-02	7.73	54.38	-0.32	-34.64	0.86	-32.14	
2009-03	8.04	56.54	-0.29	-14.45	0.9	-10.31	
2009-04	8.39	59.01	-0.25	6.12	0.95	9.44	
2009-05	9.82	69.04	-0.12	21.28	1.23	30.55	
2009-06	11.56	81.62	0.03	40.95	1.58	50.49	
2009-07	13.98	98.8	0.25	55.98	2.04	69.49	
2009-08	11.86	83.81	0.07	47.62	1.52	60.08	
2009-09	11.01	78.12	-0.01	37.5	1.3	44.15	
2009-10	11.79	83.33	0.07	41.13	1.4	48.88	
2009-11	11.97	84.55	0.08	45.62	1.38	61.95	
2009-12	11.23	79.33	0.02	17.2	1.19	35.33	
2010-01	9.93	70.18	-0.09	-31.83	0.91	-16.61	
2010-02	9.29	65.63	-0.15	-50.6	0.75	-37.14	
2010-03	9.45	66.77	-0.13	-52.96	0.76	-43.79	
2010-04	8.68	61.3	-0.2	-65.69	0.59	-61.27	
2010-05	7.33	52.05	-0.32	-80.94	0.34	-81.34	
2010-06	7.15	51	-0.33	-87.41	0.29	-87.36	
2010-07	7.59	54.11	-0.29	-74.88	0.36	-74.59	
2010-08	8.48	60.32	-0.2	-47.28	0.49	-46.19	
2010-09	8.28	59.08	-0.22	-46.05	0.44	-43.7	
2010-10	9.25	66	-0.13	-10.21	0.59	-6.92	
2010-11	8.79	62.66	-0.17	-6.62	0.49	-4.3	
2010-12	8.47	60.44	-0.19	-17.39	0.42	-14.44	
2011-01	8.61	61.42	-0.18	-3.79	0.42	-1.83	
2011-02	8.28	59.06	-0.21	-25.48	0.35	-25.18	
2011-03	8.4	60.01	-0.19	-32.22	0.36	-27.56	
2011-04	8.73	62.4	-0.16	20.24	0.39	25.99	
2011-05	8.19	58.52	-0.21	-20.15	0.29	-18.71	
2011-06	8.09	58.46	-0.22	-45.79	0.28	-38.9	
2011-07	8.49	61.36	-0.18	-12.29	0.32	-1.36	
2011-08	8.27	59.75	-0.2	-47.13	0.27	-26.12	
2011-09	7.76	56.03	-0.25	-85.2	0.18	-74.92	
2011-10	7.35	53.07	-0.29	-92.08	0.11	-91.18	
2011-11	7.42	53.57	-0.28	-89.65	0.11	-89.24	
2011-12	7.38	53.31	-0.28	-85.72	0.09	-85.96	
2012-01	7.5	54.16	-0.27	-78.45	0.1	-78.63	
2012-02	7.89	56.96	-0.24	-44.55	0.15	-44.2	
2012-03	8.3	59.94	-0.2	4.26	0.19	5.72	
2012-04	8.59	62.02	-0.17	32.88	0.22	34.09	
2012-05	8.98	64.87	-0.14	52.21	0.26	53.33	
2012-06	9.05	65.35	-0.13	60.76	0.26	61.43	
2012-07	9.35	68.35	-0.1	72.81	0.3	75.12	
2012-08	8.48	62.13	-0.19	44.56	0.17	50.81	
2012-09	8.2	60.08	-0.21	9.55	0.12	20.71	
2012-10	8.3	60.79	-0.21	-3.08	0.13	13.1	
2012-11	8.44	61.82	-0.2	7.67	0.13	20.17	
2012-12	9.35	69.53	-0.11	51.47	0.26	61.01	
2013-01	11.91	80.01	0.12	77.88	0.43	84.11	
2013-02	11.63	85.14	0.09	86.67	0.5	91.67	
2013-03	11.04	80.82	0.03	84.61	0.41	82.99	
2013-04	11.25	82.41	0.04	84.13	0.42	82.39	
2013-05	11.8	87.15	0.09	95.45	0.48	95.37	
2013-06	10.37	77.14	-0.05	64.6	0.3	66.96	
2013-07	9.86	73.35	-0.1	24.22	0.22	24.77	
2013-08	9.8	72.86	-0.11	2.11	0.2	2.48	
2013-09	9.64	71.66	-0.13	-16.54	0.17	-15.46	
2013-10	9.14	67.98	-0.17	-40.67	0.1	-40.13	
2013-11	8.89	66.08	-0.2	-54.85	0.06	-54.8	
2013-12	8.29	61.68	-0.26	-70.78	-0.02	-72.04	
2014-01	7.45	55.37	-0.34	-84.22	-0.13	-85.76	
2014-02	7.16	53.22	-0.36	-88.95	-0.17	-89.51	
2014-03	7.56	56.26	-0.33	-79.29	-0.13	-78.95	
2014-04	7.94	59.07	-0.3	-62.92	-0.09	-62.46	
2014-05	7.84	61.07	-0.31	-62.1	-0.06	-46.34	
2014-06	8.25	64.74	-0.28	-27.46	-0.02	-10.54	
2014-07	8.99	70.58	-0.21	5.24	0.06	20.42	
2014-08	9.42	73.93	-0.18	33.84	0.11	44.05	
2014-09	9.37	73.55	-0.18	46.85	0.09	53.19	
2014-10	9.29	72.96	-0.19	45.78	0.07	53.08	
2014-11	9.64	75.7	-0.17	66.39	0.1	73.75	
2014-12	11.72	92.04	0.01	88.32	0.33	90.84	
2015-01	13.41	105.29	0.15	90.49	0.5	92.54	
2015-02	12.61	99.01	0.08	82.26	0.39	83.81	
2015-03	12.7	99.74	0.08	81.09	0.39	81.7	
2015-04	14.24	111.83	0.21	96.21	0.54	96.3	
2015-05	14.32	112.4	0.22	90.53	0.54	90.53	
2015-06	14.74	115.71	0.26	90.3	0.57	90.3	
2015-07	14.58	116.01	0.25	85.44	0.56	87.27	
2015-08	14.28	115.97	0.22	73.81	0.54	84.27	
2015-09	13.31	108.07	0.15	28.53	0.43	44.91	
2015-10	13.49	109.6	0.17	17.81	0.45	30.04	
2015-11	14.26	115.79	0.24	41.71	0.53	57.48	
2015-12	19.69	175.01	0.74	81.51	1.3	95.34	
2016-07	18.18	150.39	0.62	88.7	0.87	11.56	
2016-08	22.64	191.63	1.04	95.42	1.35	23.6	
2016-09	24.34	206	1.21	94.24	1.49	51.69	
2016-10	25.71	217.57	1.35	94.03	1.59	63.45	
2016-11	26.23	221.96	1.4	92.61	1.59	67.53	
2016-12	22.72	192.29	1.09	67.29	1.21	41.64	
2017-01	20.78	175.71	0.91	35.5	0.99	-5.95	
2017-02	20.71	175.28	0.91	16.77	0.95	-28.77	
2017-03	20.9	176.86	0.93	12.85	0.94	-38.9	
2017-04	20.53	173.75	0.88	-6.35	0.88	-51.29	
2017-05	19.3	163.37	0.75	-31.56	0.75	-63.22	
2017-06	22.48	188.42	1.01	1.55	0.99	-20.46	
2017-07	24.33	205.99	1.14	51.96	1.14	37.25	
2017-08	22.87	194.4	0.99	41.92	0.99	34.01	
2017-09	26.31	230.17	1.25	60.2	1.32	64.37	
2017-10	26.97	235.95	1.26	68.07	1.34	69.75	
2017-11	29.56	258.64	1.43	80.56	1.53	83.28	
2017-12	30.05	262.9	1.43	85.97	1.53	87.84	
2018-01	37.34	326.74	1.95	97.36	2.07	97.73	
2018-02	34.05	297.88	1.64	83.45	1.74	83.45	
2018-03	32.3	282.6	1.46	69.16	1.55	69.16	
2018-04	30.98	271.07	1.32	53.32	1.41	53.37	
2018-05	27.05	236.63	1.01	11.81	1.07	13.07	
2018-06	26.73	233.83	0.96	-6.56	1.02	-5.09	
2018-07	23.41	204.78	0.71	-40.18	0.75	-38.96	
2018-08	22.77	201.72	0.65	-53.8	0.7	-51.63	
2018-09	23.76	216.05	0.7	-53.01	0.79	-45.68	
2018-10	22.21	201.98	0.58	-70.98	0.66	-64.38	
2018-11	24.76	225.16	0.74	-47.93	0.82	-35.39	
2018-12	25.17	228.88	0.75	-26.52	0.83	-10.45	
2019-01	25.49	231.82	0.75	-14.45	0.83	6.41	
2019-02	27.5	250.08	0.87	23.75	0.94	38.09	
2019-03	28.74	261.39	0.92	44.73	1	53.06	
2019-04	30.98	281.73	1.04	58.89	1.12	64.37	
2019-05	27.39	249.08	0.78	42.86	0.85	49.02	
2019-06	27.7	251.93	0.78	47.7	0.84	52.54	
2019-07	29.67	269.81	0.88	75.82	0.94	77.48	
2019-08	27.02	250.98	0.69	31.41	0.78	45.25	
2019-09	26.59	251.41	0.65	-9.06	0.76	19.78	
2019-10	26.89	254.24	0.65	-26.34	0.76	16.02	
2019-11	26.97	254.98	0.63	-31.38	0.74	9.35	
