month	ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价
1995-06	10.71	28.13	
1995-07	10.45	39.16	
1995-08	10.37	33.63	
1995-09	9.74	1.07	
1995-10	9.01	-41.88	
1995-11	8.64	-67.53	
1995-12	7.84	-74.74	
1996-01	5.71	-80.68	
1996-02	5.91	-83.11	
1996-03	6.23	-81.97	
1996-04	6.81	-68.18	
1996-05	8.88	-18.06	
1996-06	9.26	14.78	
1996-07	9.02	17.16	
1996-08	9.51	41.52	
1996-09	9.24	42.9	
1996-10	11.75	66.54	
1996-11	14.18	88.1	
1996-12	14.51	86.89	
1997-01	13.59	81.41	
1997-02	13.45	73.48	
1997-03	14.43	86.57	
1997-04	14.48	85.84	
1997-05	14.93	82.01	
1997-06	14.59	70	
1997-07	18.54	96.23	
1997-08	19.07	88.78	
1997-09	17.8	77.81	
1997-10	18.18	74.15	
1997-11	19.14	85.67	
1997-12	21.74	94.41	
1998-01	15.15	51.73	
1998-02	12.64	-6.49	
1998-03	11.41	-37.91	
1998-04	12.71	-42.13	
1998-05	13.89	-41.34	
1998-06	14.88	-29.42	
1998-07	13.05	-58.23	
1998-08	10.57	-77.68	
1998-09	10.23	-80.56	
1998-10	10.71	-75.54	
1998-11	11.29	-61.48	
1998-12	10.23	-74.3	
1999-01	8.87	-93.84	
1999-02	8.04	-96.56	
1999-03	8.4	-90.45	
1999-04	8.1	-92.65	
1999-05	7.61	-93.57	
1999-06	9.47	-55.02	
1999-07	8.85	-40.5	
1999-08	9.46	-10.23	
1999-09	9.5	7.99	
1999-10	8.62	-27.73	
1999-11	8.55	-50.24	
1999-12	7.93	-68.2	
2000-01	8.27	-59.49	
2000-02	9.34	-16.56	
2000-03	9.91	19.02	
2000-04	11.22	64.73	
2000-05	10.14	62.13	
2000-06	11.56	82.55	
2000-07	11.9	85.2	
2000-08	13.62	96.16	
2000-09	13.96	92.6	
2000-10	15.12	98.11	
2000-11	14.92	89.33	
2000-12	14.57	77.81	
2001-01	14.15	56.44	
2001-02	15.04	78.17	
2001-03	15.33	86.69	
2001-04	16.89	94.81	
2001-05	17.38	96.48	
2001-06	17.39	89.54	
2001-07	19.95	98.05	
2001-08	19.12	86.61	
2001-09	19.03	77.28	
2001-10	16.84	41.37	
2001-11	16.8	17.37	
2001-12	17.81	26.27	
2002-01	17.3	2.19	
2002-02	17.09	-14.73	
2002-03	17.52	4.12	
2002-04	17.27	-14.57	
2002-05	16.5	-49.42	
2002-06	15.74	-71.07	
2002-07	15.48	-79.79	
2002-08	15.82	-69.8	
2002-09	16.51	-42.77	
2002-10	15.76	-65.12	
2002-11	15.77	-74.66	
2002-12	16.31	-32.78	
2003-01	16.34	-8.53	
2003-02	16.33	4.7	
2003-03	15.21	-33.55	
2003-04	12.72	-89.85	
2003-05	11.39	-97.45	
