month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2007-03	8.06	1.76	
2007-04	8.06	1.7	
2007-05	8.06	1.63	
2007-06	8.73	1.79	
2007-07	17.3	4.24	
2007-08	18.49	4.33	
2007-09	18.84	4.16	
2007-10	18.84	3.93	
2007-11	18.45	3.62	
2007-12	19.75	3.74	
2008-01	21.84	4	
2008-02	20.23	3.44	
2008-03	15.66	2.33	
2008-04	13.54	1.81	
2008-05	15.6	2.15	
2008-06	14.18	1.79	
2008-07	15.37	1.94	
2008-08	15.46	1.89	
2008-09	11.91	1.19	
2008-10	10.38	0.88	
2008-11	10.95	0.95	
2008-12	12.62	1.21	
2009-01	12.41	1.13	
2009-02	13.27	1.24	
2009-03	12.49	1.07	
2009-04	13.39	1.18	
2009-05	13.28	1.12	
2009-06	14.29	1.24	
2009-07	14.86	1.29	
2009-08	15.25	1.3	
2009-09	15.84	1.34	
2009-10	16.51	1.39	
2009-11	19.33	1.73	
2009-12	19.89	1.74	
2010-01	22.13	1.97	
2010-02	21.75	1.84	
2010-03	20.31	1.59	
2010-04	19.99	1.49	
2010-05	19.99	1.44	
2010-06	19.99	1.39	
2010-07	19.99	1.34	
2010-08	19.99	1.29	
2010-09	19.99	1.24	
2010-10	19.99	1.19	
2010-11	20.17	1.17	
2010-12	34.2	2.56	
2011-01	33.87	2.41	
2011-02	34.55	2.36	
2011-03	32.56	2.08	
2011-04	28.21	1.6	
2011-05	24.4	1.2	
2011-06	25.51	1.26	
2011-07	28.64	1.47	
2011-08	29.38	1.48	
2011-09	27.54	1.28	
2011-10	27.88	1.26	
2011-11	31.46	1.48	
2011-12	29.82	1.31	
2012-01	27.29	1.07	
2012-02	27.98	1.08	
2012-03	28.35	1.07	
2012-04	27.86	1	
2012-05	25.87	0.82	
2012-06	25.34	0.76	
2012-07	25.73	0.76	
2012-08	25.7	0.73	
2012-09	23.59	0.56	
2012-10	24.42	0.6	
2012-11	24.19	0.56	
2012-12	22.68	0.44	
2013-01	26.36	0.65	
2013-02	29.08	0.79	
2013-03	30.61	0.86	
2013-04	31.87	0.9	
2013-05	33.35	0.95	
2013-06	33.22	0.91	
2013-07	34.44	0.95	
2013-08	31.73	0.76	
2013-09	34.73	0.9	
2013-10	39.35	1.11	
2013-11	36.82	0.94	
2013-12	37.71	0.95	
2014-01	38.91	0.98	
2014-02	36.37	0.82	
2014-03	33.99	0.67	
2014-04	32.97	0.6	
2014-05	30.34	0.45	
2014-06	30.38	0.44	
2014-07	29.26	0.37	
2014-08	31.11	0.44	
2014-09	30.07	0.37	
2014-10	27.9	0.26	
2014-11	24.66	0.11	
2014-12	26.5	0.18	
2015-01	28.53	0.26	
2015-02	27.96	0.22	
2015-03	29.43	0.28	
2015-04	34.1	0.46	
2015-05	34.08	0.45	
2015-06	33.13	0.39	
2015-07	27.51	0.14	
2015-08	25.83	0.07	
2015-09	23.99	-0.02	
2015-10	25.26	0.03	
2015-11	26.73	0.09	
2015-12	26.76	0.08	
2016-01	24.34	-0.02	
2016-02	24.58	-0.01	
2016-03	26.64	0.07	
2016-04	28.32	0.13	
2016-05	30.05	0.2	
2016-06	30.74	0.22	
2016-07	32.57	0.29	
2016-08	34.73	0.36	
2016-09	34.11	0.33	
2016-10	35.15	0.35	
2016-11	33.2	0.27	
2016-12	31.48	0.2	
2017-01	31.01	0.17	
2017-02	32.01	0.2	
2017-03	32.7	0.22	
2017-04	33.78	0.25	
2017-05	32.24	0.18	
2017-06	35.65	0.29	
2017-07	34.83	0.25	
2017-08	34.28	0.23	
2017-09	36.83	0.31	
2017-10	39.67	0.39	
2017-11	42.29	0.47	
2017-12	41.32	0.42	
2018-01	44.56	0.52	
2018-02	42.4	0.43	
2018-03	42.89	0.44	
2018-04	40.34	0.35	
2018-05	43.44	0.44	
2018-06	45.27	0.49	
2018-07	42.64	0.39	
2018-08	38.85	0.26	
2018-09	40.16	0.29	
2018-10	38.78	0.24	
2018-11	37.66	0.2	
2018-12	39.41	0.25	
2019-01	41.85	0.31	
2019-02	42.47	0.33	
2019-03	42.97	0.33	
2019-04	45.85	0.42	
2019-05	44.37	0.37	
2019-06	42.74	0.31	
2019-07	43.41	0.33	
2019-08	38.74	0.18	
2019-09	41.39	0.26	
2019-10	45.69	0.38	
2019-11	55.41	0.66	
2019-12	50.98	0.51	
2020-01	53.31	0.57	
2020-02	57.66	0.69	
2020-03	62.5	0.81	
2020-04	71.18	1.04	
2020-05	71.85	1.03	
2020-06	72.83	1.03	
2020-07	91.65	1.51	
2020-08	100.63	1.71	
2020-09	96.59	1.55	
2020-10	92.08	1.39	
2020-11	88.44	1.26	
2020-12	85.46	1.15	
2021-01	90.8	1.24	
2021-02	87.33	1.13	
2021-03	77.05	0.85	
2021-04	71.31	0.69	
2021-05	66.96	0.58	
2021-06	63.11	0.47	
2021-07	55.44	0.29	
2021-08	49.71	0.15	
2021-09	49.09	0.13	
2021-10	52.69	0.21	
2021-11	57.48	0.31	
2021-12	58.7	0.33	
2022-01	59.75	0.35	
2022-02	57.12	0.28	
2022-03	52.21	0.17	
2022-04	57.64	0.28	
2022-05	58.78	0.3	
2022-06	56.38	0.24	
2022-07	54.8	0.2	
2022-08	52.29	0.14	
2022-09	50.29	0.1	
2022-10	49.37	0.07	
2022-11	50.25	0.09	
2022-12	51.79	0.11	
2023-01	52.01	0.11	
2023-02	52.62	0.12	
2023-03	52.04	0.1	
2023-04	52.69	0.11	
2023-05	53.04	0.11	
2023-06	51.88	0.08	
2023-07	51.69	0.07	
2023-08	53.83	0.11	
2023-09	57.29	0.18	
2023-10	56.3	0.15	
2023-11	56.17	0.14	
2023-12	56.17	0.14	
2024-01	59.03	0.18	
2024-02	63.53	0.27	
2024-03	61.83	0.22	
2024-04	58.87	0.16	
2024-05	57.84	0.13	
2024-06	55.09	0.07	
2024-07	52.51	0.01	
2024-08	51.37	-0.01	
2024-09	54	0.03	
2024-10	57.07	0.09	
2024-11	56.89	0.08	
2024-12	59.14	0.12	
2025-01	58.2	0.09	
