month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2016-08	8.75	1	
2016-09	8.58	0.93	
2016-10	8.74	0.93	
2016-11	8.79	0.91	
2016-12	8.16	0.75	
2017-01	7.98	0.68	
2017-02	8.77	0.82	
2017-03	9.98	1.03	
2017-04	9.5	0.9	
2017-05	8.71	0.71	
2017-06	9.69	0.87	
2017-07	12.79	1.42	
2017-08	15.89	1.92	
2017-09	16.22	1.9	
2017-10	15.33	1.68	
2017-11	18.61	2.15	
2017-12	18.18	2	
2018-01	18.18	1.92	
2018-02	15.05	1.36	
2018-03	17.37	1.66	
2018-04	16.8	1.52	
2018-05	16.36	1.4	
2018-06	15.14	1.18	
2018-07	14.14	1	
2018-08	13.1	0.82	
2018-09	13.22	0.81	
2018-10	10.19	0.38	
2018-11	10.92	0.46	
2018-12	10.78	0.43	
2019-01	12.45	0.63	
2019-02	13.95	0.8	
2019-03	16.28	1.06	
2019-04	15.51	0.94	
2019-05	13.17	0.62	
2019-06	13.46	0.64	
2019-07	14.77	0.78	
2019-08	14.09	0.67	
2019-09	15.02	0.76	
2019-10	14.93	0.72	
2019-11	14.82	0.69	
2019-12	14.78	0.66	
2020-01	16.03	0.77	
2020-02	17.26	0.88	
2020-03	16.88	0.81	
2020-04	15.34	0.62	
2020-05	14.74	0.54	
2020-06	15.41	0.59	
2020-07	17.03	0.73	
2020-08	16.79	0.68	
2020-09	15.77	0.56	
2020-10	16.03	0.56	
2020-11	18	0.73	
2020-12	17.15	0.63	
2021-01	20.39	0.9	
2021-02	21.88	1.01	
2021-03	20.88	0.88	
2021-04	21.63	0.92	
2021-05	24.67	1.15	
2021-06	27.63	1.36	
2021-07	27.61	1.31	
2021-08	24.42	1.01	
2021-09	23.08	0.87	
2021-10	24.28	0.94	
2021-11	25.37	0.99	
2021-12	23.48	0.82	
2022-01	21.57	0.65	
2022-02	21.63	0.63	
2022-03	21.1	0.58	
2022-04	18.02	0.33	
2022-05	15.99	0.17	
2022-06	17.73	0.29	
2022-07	18.71	0.35	
2022-08	17.8	0.27	
2022-09	15.84	0.12	
2022-10	14.9	0.05	
2022-11	15.28	0.07	
2022-12	14.88	0.03	
2023-01	15.92	0.1	
2023-02	21.3	0.45	
2023-03	23.57	0.59	
2023-04	27.18	0.8	
2023-05	26.88	0.76	
2023-06	31.51	1.03	
2023-07	29.56	0.88	
2023-08	26.33	0.66	
2023-09	22.38	0.4	
2023-10	22.62	0.41	
2023-11	21.29	0.32	
2023-12	21.12	0.3	
2024-01	18.27	0.12	
2024-02	19.87	0.21	
2024-03	22.67	0.37	
2024-04	20.5	0.23	
2024-05	19.36	0.16	
2024-06	19.09	0.13	
2024-07	17.75	0.05	
2024-08	15.77	-0.07	
2024-09	15.89	-0.07	
2024-10	20.31	0.18	
2024-11	22.02	0.27	
2024-12	22.89	0.31	
2025-01	20.78	0.18	
