month	ct_avg_Tdx收盘价	ct_avg_前复权价格	deviate_avg_100_ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价	deviate_avg_100_ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2024-02	19.52	0.73	-0.26	32.14	-0.04	36.35	
2024-03	18.85	0.71	-0.28	14.8	-0.07	17.22	
2024-04	18.95	0.71	-0.27	12.72	-0.07	18.04	
2024-05	21.2	0.8	-0.17	60.76	0.05	64.6	
2024-06	20.65	0.78	-0.19	76.22	0.03	72.04	
2024-07	19.93	0.75	-0.21	66.65	0	64.63	
2024-08	18.84	0.71	-0.24	35.8	-0.05	37.18	
2024-09	16.63	0.63	-0.32	-25	-0.16	-26.41	
2024-10	18.83	0.71	-0.23	-23.96	-0.05	-23.46	
2024-11	18.22	0.69	-0.24	-39.03	-0.08	-32.57	
2024-12	17.09	0.65	-0.28	-72.48	-0.13	-65.75	
2025-01	16.04	0.61	-0.32	-91.01	-0.18	-79.88	
