month	平均成交价格	票值价格	价格溢价	成交活跃度	noise_avg_平均成交价格	noise_avg_成交量	noise_avg_票值价格	deviate_avg_12_平均成交价格	deviate_avg_12_成交量	deviate_avg_12_票值价格
2004-12	5.73	5.42	0.06	0.05	-100	-21.74	-100	-0.2	-0.26	-0.19	
2005-01	5.4	5.21	0.04	0.04	-100	-47.83	-100	-0.23	-0.32	-0.2	
2005-02	5.58	5.68	-0.02	0.05	-91.3	-39.13	-82.61	-0.17	-0.15	-0.1	
2005-03	5.84	5.13	0.14	0.07	-73.91	-21.74	-91.3	-0.11	0.22	-0.15	
2005-04	5.51	5.01	0.1	0.07	-91.3	21.74	-100	-0.12	0.27	-0.14	
2005-05	4.84	4.55	0.06	0.04	-100	-47.83	-100	-0.2	-0.28	-0.19	
2005-06	4.76	4.55	0.05	0.08	-100	47.83	-95.65	-0.18	0.45	-0.17	
2005-07	4.3	4.52	-0.05	0.06	-100	56.52	-100	-0.23	0.12	-0.15	
2005-08	4.42	4.76	-0.07	0.12	-91.3	100	-73.91	-0.19	1.05	-0.09	
2005-09	4.6	4.74	-0.03	0.11	-82.61	91.3	-82.61	-0.13	0.68	-0.07	
2005-10	4.78	4.43	0.08	0.06	-73.91	56.52	-91.3	-0.07	-0.18	-0.11	
2005-11	4.3	4.4	-0.02	0.06	-82.61	39.13	-100	-0.14	-0.03	-0.1	
2005-12	4.58	4.6	0	0.06	-65.22	13.04	-65.22	-0.07	-0.11	-0.04	
2006-01	4.91	4.96	-0.01	0.09	-26.09	56.52	-30.43	0.01	0.28	0.04	
2006-02	4.92	5.06	-0.03	0.09	-8.7	65.22	13.04	0.02	0.25	0.07	
2006-03	4.97	4.98	0	0.1	21.74	65.22	30.43	0.05	0.29	0.06	
2006-04	5.28	5.35	-0.01	0.16	39.13	100	39.13	0.12	0.91	0.13	
2006-05	5.79	6.01	-0.04	0.22	47.83	100	56.52	0.21	1.25	0.24	
2006-06	5.66	6	-0.06	0.18	47.83	91.3	60.87	0.16	0.75	0.2	
2006-07	5.85	5.01	0.17	0.14	65.22	73.91	30.43	0.17	0.41	0	
2006-08	5.42	5.06	0.07	0.09	47.83	56.52	21.74	0.06	0.04	0	
2006-09	5.46	5.32	0.03	0.11	52.17	65.22	30.43	0.06	0.25	0.04	
2006-10	5.39	4.8	0.12	0.09	30.43	56.52	-21.74	0.03	0.19	-0.06	
