month	票值价格	deviate_avg_12_票值价格
2002-12	7.02	-0.16	
2003-01	7.72	-0.08	
2003-02	7.79	-0.06	
2003-03	7.74	-0.06	
2003-04	7.69	-0.05	
2003-05	7.95	-0.02	
2003-06	7.36	-0.07	
2003-07	7.24	-0.07	
2003-08	6.98	-0.08	
2003-09	6.68	-0.1	
2003-10	6.54	-0.11	
2003-11	6.7	-0.08	
2003-12	7.08	-0.03	
2004-01	7.53	0.04	
2004-02	8.01	0.1	
2004-03	8.44	0.15	
2004-04	7.45	0.02	
2004-05	7.12	-0.02	
2004-06	6.27	-0.13	
2004-07	6.16	-0.13	
2004-08	5.93	-0.15	
2004-09	6.2	-0.11	
2004-10	5.79	-0.16	
2004-11	5.89	-0.14	
2004-12	5.45	-0.19	
2005-01	5.2	-0.2	
2005-02	5.69	-0.1	
2005-03	5.14	-0.15	
2005-04	4.97	-0.15	
2005-05	4.53	-0.19	
2005-06	4.5	-0.17	
2005-07	4.43	-0.17	
2005-08	4.71	-0.1	
2005-09	4.7	-0.07	
2005-10	4.41	-0.11	
2005-11	4.36	-0.1	
2005-12	4.53	-0.05	
2006-01	4.9	0.03	
2006-02	4.99	0.07	
2006-03	4.92	0.06	
2006-04	5.24	0.12	
2006-05	5.97	0.24	
2006-06	6	0.22	
2006-07	5.12	0.03	
2006-08	5.2	0.03	
2006-09	5.45	0.07	
2006-10	5.01	-0.03	
2006-11	5.7	0.09	
2006-12	7.06	0.29	
2007-01	8.18	0.43	
2007-02	8.68	0.44	
2007-03	9.78	0.52	
2007-04	11.89	0.7	
2007-05	12.79	0.69	
2007-06	11.8	0.47	
2007-07	13.95	0.59	
2007-08	16.25	0.67	
2007-09	17.32	0.62	
2007-10	18.87	0.59	
2007-11	17.54	0.37	
2007-12	19.29	0.39	
2008-01	16.33	0.12	
2008-02	16.42	0.08	
2008-03	13.05	-0.16	
2008-04	13.5	-0.13	
2008-05	12.41	-0.2	
2008-06	9.74	-0.37	
2008-07	9.88	-0.34	
2008-08	8.37	-0.42	
2008-09	7.94	-0.42	
2008-10	5.99	-0.52	
2008-11	6.55	-0.44	
2008-12	6.44	-0.39	
2009-01	7.05	-0.28	
2009-02	7.43	-0.18	
2009-03	8.54	-0.01	
2009-04	8.9	0.08	
2009-05	9.38	0.17	
2009-06	10.38	0.29	
2009-07	11.88	0.44	
2009-08	9.39	0.13	
2009-09	9.77	0.15	
2009-10	10.67	0.2	
2009-11	11.59	0.25	
2009-12	11.86	0.22	
2010-01	10.89	0.08	
2010-02	11.27	0.09	
2010-03	11.54	0.09	
2010-04	10.63	-0.01	
2010-05	9.63	-0.11	
2010-06	8.82	-0.17	
2010-07	8.93	-0.14	
2010-08	9.08	-0.13	
2010-09	9.14	-0.12	
2010-10	10.26	0	
2010-11	9.88	-0.03	
2010-12	9.84	-0.02	
2011-01	9.63	-0.03	
2011-02	10.18	0.04	
2011-03	10.13	0.05	
2011-04	10.01	0.04	
2011-05	9.16	-0.04	
2011-06	9.23	-0.04	
