month	平均成交价格	deviate_avg_12_平均成交价格
2002-12	8.05	-0.12	
2003-01	7.42	-0.19	
2003-02	8.38	-0.08	
2003-03	12.58	0.35	
2003-04	7.71	-0.16	
2003-05	9.64	0.05	
2003-06	10.78	0.16	
2003-07	11.46	0.22	
2003-08	14.39	0.48	
2003-09	14.24	0.41	
2003-10	12.26	0.18	
2003-11	8.67	-0.17	
2003-12	8	-0.24	
2004-01	7.6	-0.27	
2004-02	7.99	-0.23	
2004-03	8.35	-0.17	
2004-04	8.41	-0.17	
2004-05	7.49	-0.25	
2004-06	7.4	-0.24	
2004-07	6.87	-0.26	
2004-08	6.39	-0.26	
2004-09	6.28	-0.21	
2004-10	6.7	-0.11	
2004-11	6.16	-0.16	
2004-12	5.74	-0.19	
2005-01	5.44	-0.22	
2005-02	5.54	-0.18	
2005-03	5.86	-0.1	
2005-04	5.52	-0.12	
2005-05	4.77	-0.21	
2005-06	4.83	-0.17	
2005-07	4.26	-0.24	
2005-08	4.39	-0.2	
2005-09	4.45	-0.16	
2005-10	4.63	-0.1	
2005-11	4.29	-0.14	
2005-12	4.47	-0.08	
2006-01	4.78	-0.01	
2006-02	4.83	0.01	
2006-03	4.8	0.03	
2006-04	5.17	0.11	
2006-05	5.69	0.21	
2006-06	5.63	0.18	
2006-07	5.81	0.18	
2006-08	5.39	0.08	
2006-09	5.47	0.08	
2006-10	5.5	0.07	
2006-11	5.94	0.12	
2006-12	6.39	0.17	
2007-01	7.4	0.31	
2007-02	7.9	0.33	
2007-03	8.71	0.39	
2007-04	11.12	0.65	
2007-05	13.62	0.84	
2007-06	13.41	0.67	
2007-07	12.89	0.49	
2007-08	15.13	0.6	
2007-09	16.07	0.55	
2007-10	18.04	0.59	
2007-11	17.1	0.39	
2007-12	16.1	0.23	
2008-01	17.59	0.26	
2008-02	16.78	0.14	
2008-03	15.29	0	
2008-04	13.66	-0.12	
2008-05	13.92	-0.1	
2008-06	11.12	-0.27	
2008-07	10.5	-0.31	
2008-08	8.71	-0.4	
2008-09	7.6	-0.45	
2008-10	6.93	-0.46	
2008-11	6.32	-0.48	
2008-12	6.81	-0.4	
2009-01	7.3	-0.3	
2009-02	8.14	-0.16	
2009-03	8.73	-0.04	
2009-04	9.49	0.08	
2009-05	9.82	0.16	
2009-06	10.37	0.24	
2009-07	11.46	0.35	
2009-08	11.62	0.33	
2009-09	11.28	0.25	
2009-10	11.69	0.24	
2009-11	11.9	0.2	
2009-12	12.55	0.21	
2010-01	13.02	0.2	
2010-02	12.34	0.1	
2010-03	12.77	0.11	
2010-04	13.68	0.15	
2010-05	12.21	0.01	
2010-06	11.92	-0.02	
2010-07	10.48	-0.14	
2010-08	11.74	-0.03	
2010-09	12.81	0.04	
2010-10	13.44	0.08	
2010-11	14.42	0.14	
2010-12	19.07	0.45	
2011-01	13.4	0.02	
2011-02	13.94	0.05	
2011-03	13.85	0.03	
2011-04	12.71	-0.05	
2011-05	12.09	-0.09	
2011-06	12.01	-0.1	
2011-07	12.83	-0.05	
2011-08	12.23	-0.1	
2011-09	11.38	-0.15	
2011-10	10.55	-0.2	
2011-11	11.4	-0.12	
2011-12	10.15	-0.17	
2012-01	9.55	-0.2	
2012-02	9.98	-0.14	
2012-03	10.78	-0.05	
2012-04	9.74	-0.12	
2012-05	10.47	-0.04	
2012-06	10.4	-0.04	
2012-07	10.23	-0.03	
2012-08	9.45	-0.09	
2012-09	9.02	-0.11	
2012-10	8.31	-0.17	
2012-11	8.06	-0.17	
2012-12	8.31	-0.13	
2013-01	9.28	-0.02	
2013-02	9.78	0.03	
2013-03	9.63	0.03	
2013-04	9.64	0.03	
2013-05	10.16	0.09	
2013-06	9.62	0.04	
2013-07	9.69	0.05	
2013-08	9.53	0.03	
2013-09	9.38	0.01	
2013-10	9.92	0.05	
2013-11	9.9	0.03	
2013-12	10.05	0.04	
2014-01	10.72	0.09	
2014-02	10.74	0.08	
2014-03	9.7	-0.02	
2014-04	9.44	-0.05	
2014-05	9.53	-0.03	
2014-06	9.94	0.01	
2014-07	9.37	-0.05	
2014-08	9.62	-0.02	
2014-09	9.92	0	
2014-10	9.94	0	
2014-11	9.89	0	
2014-12	10.97	0.1	
2015-01	12.17	0.2	
2015-02	12.89	0.25	
2015-03	13.62	0.28	
2015-04	15.33	0.38	
2015-05	17.6	0.5	
2015-06	17.92	0.44	
2015-07	13.84	0.08	
2015-08	13.93	0.06	
2015-09	11.82	-0.11	
2015-10	13.66	0	
2015-11	15.52	0.1	
2015-12	16.24	0.12	
2016-01	13.09	-0.1	
2016-02	12.59	-0.14	
2016-03	12.88	-0.11	
2016-04	14.04	-0.03	
2016-05	13.88	-0.02	
2016-06	14.75	0.06	
2016-07	14.17	0.02	
2016-08	13.31	-0.04	
2016-09	13.3	-0.05	
2016-10	13.07	-0.06	
2016-11	13.34	-0.03	
2016-12	12.88	-0.04	
2017-01	12.51	-0.07	
2017-02	12.51	-0.07	
2017-03	14.2	0.05	
2017-04	12.53	-0.06	
2017-05	12.54	-0.05	
2017-06	12.49	-0.04	
2017-07	11.75	-0.09	
2017-08	11.93	-0.06	
2017-09	13	0.02	
2017-10	13.47	0.06	
2017-11	13.8	0.08	
2017-12	13.17	0.03	
2018-01	12.76	-0.01	
2018-02	11.83	-0.08	
2018-03	12.71	0	
2018-04	13.31	0.05	
2018-05	13.24	0.04	
2018-06	12.06	-0.05	
2018-07	10.93	-0.14	
2018-08	10.06	-0.2	
2018-09	9.47	-0.23	
2018-10	8.65	-0.27	
2018-11	8.2	-0.28	
2018-12	8.57	-0.22	
2019-01	8.19	-0.23	
2019-02	8.53	-0.17	
2019-03	9.54	-0.05	
2019-04	10.18	0.04	
2019-05	9.67	0.02	
2019-06	9.75	0.05	
2019-07	10.42	0.12	
2019-08	10.98	0.17	
2019-09	11.26	0.19	
2019-10	11.06	0.14	
2019-11	11.18	0.12	
2019-12	10.73	0.06	
2020-01	11.42	0.1	
2020-02	11.73	0.1	
2020-03	11.02	0.02	
2020-04	10.82	0	
2020-05	11.93	0.08	
2020-06	12.13	0.08	
2020-07	12.99	0.14	
2020-08	13.04	0.12	
2020-09	12.37	0.06	
2020-10	14.21	0.19	
2020-11	13.44	0.11	
2020-12	13.14	0.06	
2021-01	14.95	0.18	
2021-02	14.22	0.11	
2021-03	11.84	-0.08	
2021-04	12.34	-0.05	
2021-05	12.79	-0.03	
2021-06	13.93	0.05	
2021-07	14.89	0.11	
2021-08	14.92	0.1	
2021-09	12.97	-0.05	
2021-10	13.95	0.02	
2021-11	14.79	0.08	
2021-12	13.29	-0.03	
2022-01	12.79	-0.06	
2022-02	12.32	-0.08	
2022-03	12.15	-0.1	
2022-04	10.63	-0.2	
2022-05	10.96	-0.17	
2022-06	12.26	-0.06	
2022-07	12.68	-0.01	
2022-08	12.94	0.02	
2022-09	11.75	-0.06	
2022-10	12.47	0	
2022-11	12.23	0	
2022-12	11.68	-0.03	
2023-01	12.44	0.03	
2023-02	12.49	0.04	
2023-03	12.94	0.07	
2023-04	14.22	0.14	
2023-05	12.53	0	
2023-06	13.68	0.08	
2023-07	12.47	-0.01	
2023-08	11.26	-0.1	
2023-09	11.71	-0.06	
2023-10	11.77	-0.05	
2023-11	11.88	-0.04	
2023-12	11.57	-0.07	
2024-01	10.53	-0.14	
2024-02	9.64	-0.2	
2024-03	11.5	-0.03	
2024-04	10.61	-0.09	
2024-05	10.57	-0.08	
2024-06	10.55	-0.06	
2024-07	10.18	-0.07	
2024-08	9.17	-0.15	
2024-09	9.26	-0.13	
2024-10	12.05	0.13	
2024-11	11.81	0.11	
