month	ct_avg_Tdx平均成交价	deviate_avg_100_ct_avg_Tdx平均成交价
1999-03	6.96	-0.3	
1999-04	6.82	-0.31	
1999-05	6.28	-0.37	
1999-06	8.1	-0.18	
1999-07	8.18	-0.18	
1999-08	8.75	-0.12	
1999-09	9.15	-0.08	
1999-10	7.08	-0.29	
1999-11	6.33	-0.36	
1999-12	7.07	-0.29	
2000-01	8.4	-0.16	
2000-02	9.72	-0.03	
2000-03	9.72	-0.03	
2000-04	10.01	0	
2000-05	10.26	0.03	
2000-06	10.1	0.02	
2000-07	8.9	-0.09	
2000-08	9.47	-0.02	
2000-09	9.94	0.04	
2000-10	10.65	0.13	
2000-11	10.54	0.13	
2000-12	9.02	-0.03	
2001-01	9.91	0.07	
2001-02	9.49	0.03	
2001-03	8.12	-0.12	
2001-04	7.97	-0.13	
2001-05	9.16	0	
2001-06	9.8	0.09	
2001-07	8.92	0	
2001-08	7.88	-0.1	
2001-09	6.53	-0.25	
2001-10	6.65	-0.23	
2001-11	6.89	-0.19	
2001-12	7.86	-0.08	
2002-01	6.58	-0.22	
2002-02	6.95	-0.17	
2002-03	7.78	-0.06	
2002-04	8.12	-0.02	
2002-05	8.62	0.04	
2002-06	7.19	-0.13	
2002-07	8.49	0.03	
2002-08	8.42	0.02	
2002-09	7.91	-0.04	
2002-10	6.51	-0.21	
2002-11	6.79	-0.18	
2002-12	6.99	-0.15	
2003-01	6.23	-0.24	
2003-02	7.06	-0.14	
2003-03	7.48	-0.09	
2003-04	7.07	-0.14	
2003-05	7.34	-0.1	
2003-06	6.64	-0.19	
2003-07	7.25	-0.12	
2003-08	7.33	-0.11	
2003-09	7.32	-0.1	
2003-10	6.5	-0.21	
2003-11	6.1	-0.26	
2003-12	6.35	-0.23	
2004-01	7.07	-0.14	
2004-02	7.61	-0.08	
2004-03	7.63	-0.08	
2004-04	7.99	-0.04	
2004-05	7.15	-0.14	
2004-06	7.13	-0.14	
2004-07	6.45	-0.23	
2004-08	6.02	-0.28	
2004-09	5.64	-0.32	
2004-10	6.3	-0.24	
2004-11	5.75	-0.31	
2004-12	5.37	-0.35	
2005-01	5.21	-0.37	
2005-02	5.05	-0.38	
2005-03	4.93	-0.4	
2005-04	4.66	-0.43	
2005-05	4.05	-0.5	
2005-06	3.92	-0.51	
2005-07	3.65	-0.54	
2005-08	3.79	-0.52	
2005-09	4.29	-0.45	
2005-10	4.27	-0.44	
2005-11	3.56	-0.53	
2005-12	3.7	-0.51	
2006-01	4.38	-0.42	
2006-02	4.37	-0.41	
2006-03	4.49	-0.39	
2006-04	4.84	-0.34	
2006-05	5.37	-0.26	
2006-06	5.3	-0.27	
2006-07	5.56	-0.23	
2006-08	5.11	-0.29	
2006-09	5.18	-0.27	
2006-10	5.05	-0.29	
2006-11	5.3	-0.25	
2006-12	5.79	-0.18	
2007-01	6.97	-0.01	
2007-02	7.44	0.06	
2007-03	8.22	0.18	
2007-04	10.33	0.47	
2007-05	12.61	0.78	
2007-06	12.08	0.69	
2007-07	11.76	0.64	
2007-08	14.01	0.93	
2007-09	15.24	1.08	
2007-10	16.57	1.23	
2007-11	15.76	1.1	
2007-12	14.68	0.94	
2008-01	16.42	1.15	
2008-02	15.68	1.03	
2008-03	14.05	0.8	
2008-04	11.63	0.48	
2008-05	12.64	0.6	
2008-06	10.08	0.28	
2008-07	9.61	0.22	
2008-08	7.84	0	
2008-09	6.72	-0.14	
2008-10	6.29	-0.19	
2008-11	5.81	-0.25	
2008-12	6.21	-0.2	
2009-01	6.61	-0.14	
2009-02	7.48	-0.02	
2009-03	7.99	0.05	
2009-04	8.77	0.15	
2009-05	9.11	0.19	
2009-06	9.6	0.26	
2009-07	10.57	0.38	
2009-08	10.06	0.31	
2009-09	9.76	0.27	
2009-10	10.16	0.32	
2009-11	10.56	0.37	
2009-12	10.75	0.39	
2010-01	11.04	0.42	
2010-02	10.7	0.37	
