month	ct_avg_Tdx平均成交价	ct_avg_noise_avg_Tdx平均成交价
1993-01	21.4	10.71	
1993-02	20.07	-5.58	
1993-03	19.72	-28.42	
1993-04	19.98	-32.1	
1993-05	14.39	-66.67	
1993-06	8.01	-88.72	
1993-07	6.87	-87.42	
1993-08	9.42	-77.56	
1993-09	9.2	-74.57	
1993-10	5.56	-88.66	
1993-11	13.05	-47.24	
1993-12	13.02	-10.52	
1994-01	9.28	-28.15	
1994-02	8.67	-49.11	
1994-03	6.84	-63.47	
1994-04	5.02	-76.45	
1994-05	5.92	-73.17	
1994-06	4.44	-87.22	
1994-07	3.77	-88.39	
1994-08	4.18	-81.91	
1994-09	6.36	-43.14	
1994-10	4.84	-51.08	
1994-11	5.39	-51.62	
1994-12	6.13	-11.97	
1995-01	2.71	-34.07	
1995-02	2.25	-72.32	
1995-03	3.22	-78.03	
1995-04	3.74	-66.07	
1995-05	3.37	-70.86	
1995-06	3.8	-47.48	
1995-07	3.62	-33.38	
1995-08	2.74	-70.17	
1995-09	2.74	-82.19	
1995-10	2.83	-72.01	
1995-11	3.19	-50.77	
1995-12	2.45	-78.19	
1996-01	2.41	-79.75	
1996-02	2.75	-70.83	
1996-03	3.13	-38.79	
1996-04	3.44	6.66	
1996-05	4.43	44.85	
1996-06	5.47	68.39	
1996-07	6.28	87.58	
1996-08	7.08	90.38	
1996-09	7.12	89.69	
1996-10	8.16	97.66	
1996-11	10.14	98.55	
1996-12	10.67	90.54	
1997-01	9.22	75.08	
1997-02	9.82	79.46	
1997-03	11.5	91.67	
1997-04	13.51	94.97	
1997-05	13.82	90.62	
1997-06	13.31	80.18	
1997-07	12.05	62.46	
1997-08	9.39	12.25	
1997-09	8.77	-16.31	
1997-10	10.13	-12.46	
1997-11	10.88	7.1	
1997-12	10.72	-3.26	
1998-01	10.51	-4.76	
1998-02	9.55	-39.52	
1998-03	9.76	-45.13	
1998-04	9.13	-51.42	
1998-05	9.25	-64.37	
1998-06	10.32	-20.82	
1998-07	9.99	-14.01	
1998-08	8.85	-57.48	
1998-09	8.39	-83.52	
1998-10	8.64	-79.82	
1998-11	9.56	-39.2	
1998-12	8.07	-77.83	
1999-01	6.69	-90.63	
1999-02	5.7	-95.28	
1999-03	6.84	-82.76	
1999-04	5.94	-84.9	
1999-05	5.68	-86.96	
1999-06	7.7	-44.48	
1999-07	8.29	-5.88	
1999-08	8.31	12.34	
1999-09	7.97	17.17	
1999-10	6.41	-16.57	
1999-11	6.29	-46.23	
1999-12	7.2	-31.68	
2000-01	8.69	16.59	
2000-02	9.69	52.03	
2000-03	9.09	58.85	
2000-04	9.66	73.3	
2000-05	9.69	81.75	
2000-06	9.78	83.24	
2000-07	8	34.95	
2000-08	8.26	10.68	
2000-09	9.01	29.68	
2000-10	9.89	60.14	
2000-11	8.42	15.83	
2000-12	7.88	-24.92	
2001-01	9.06	-4.91	
2001-02	8.14	-35.42	
2001-03	7.85	-59.21	
2001-04	7.39	-69.73	
2001-05	8.43	-36.41	
2001-06	8.5	-11.35	
2001-07	7.35	-59.78	
2001-08	6.24	-90.72	
2001-09	5.34	-91.7	
2001-10	5.18	-92.86	
2001-11	5.77	-79.95	
2001-12	6.36	-55.36	
2002-01	4.99	-82.54	
2002-02	4.95	-85.53	
2002-03	6.15	-54.46	
2002-04	6.85	-2.07	
2002-05	7.28	22.97	
2002-06	5.92	-4.69	
2002-07	7.04	30.86	
2002-08	7.6	57.02	
2002-09	6.84	49.24	
2002-10	6.4	12.7	
2002-11	6.29	7.4	
2002-12	5.97	-35.47	
2003-01	5.8	-56.25	
2003-02	6.28	-36.25	
2003-03	6.89	-4.8	
2003-04	6.73	18.59	
2003-05	7.15	45.18	
2003-06	5.86	1.45	
2003-07	6.48	-21.78	
2003-08	6.73	26.19	
2003-09	6.4	7.26	
2003-10	6.03	-47.12	
2003-11	5.58	-66.34	
2003-12	5.5	-69.18	
2004-01	6.22	-57.62	
2004-02	6.85	-6.3	
2004-03	6.99	19.49	
2004-04	7.25	44.28	
2004-05	6.25	16.52	
2004-06	6.4	-6.17	
2004-07	6.68	28.04	
2004-08	5.99	12.91	
2004-09	5.63	-49.59	
2004-10	6.41	-18.36	
2004-11	5.73	-52.88	
2004-12	5.12	-75.62	
2005-01	5.51	-74.33	
2005-02	5.43	-73.69	
2005-03	5.89	-43.09	
2005-04	5.52	-56.97	
2005-05	4.67	-85.03	
2005-06	4.94	-81.33	
2005-07	4.18	-94.73	
2005-08	4.3	-88.55	
2005-09	4.22	-90.22	
2005-10	4.4	-72.49	
2005-11	4.27	-79.91	
2005-12	4.3	-75.49	
2006-01	4.58	-28.13	
2006-02	4.69	-3.78	
2006-03	4.52	-9.67	
2006-04	5.02	31.34	
2006-05	5.54	57.39	
