month	ct_avg_Tdx收盘价	ct_avg_Tdx平均成交价	deviate_avg_100_ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx平均成交价	ct_avg_noise_avg_Tdx收盘价	ct_avg_noise_avg_Tdx平均成交价
1999-07	4055.81	8.29	0.71	-0.16	34.33	-5.88	
1999-08	4074.31	8.31	0.69	-0.14	58.44	12.34	
1999-09	4084.55	7.97	0.68	-0.17	69.16	17.17	
1999-10	3754.86	6.41	0.52	-0.34	50.11	-16.57	
1999-11	3674.12	6.29	0.47	-0.35	33.52	-46.23	
1999-12	3451	7.2	0.36	-0.25	-2.64	-31.68	
2000-01	3682.83	8.69	0.44	-0.1	7.99	16.59	
2000-02	4310.46	9.69	0.66	0	52.92	52.03	
2000-03	4444.14	9.09	0.69	-0.05	70.96	58.85	
2000-04	4551.93	9.66	0.71	0.01	82.5	73.3	
2000-05	4520.57	9.69	0.67	0.02	82.19	81.75	
2000-06	4778.37	9.78	0.74	0.03	97.32	83.24	
2000-07	4791.77	8	0.72	-0.15	93.11	34.95	
2000-08	4961.74	8.26	0.76	-0.11	96.58	10.68	
2000-09	4623.25	9.01	0.63	-0.02	63.18	29.68	
2000-10	4558.79	9.89	0.6	0.09	40.02	60.14	
2000-11	4822.29	8.42	0.68	-0.05	57.39	15.83	
2000-12	4732.05	7.88	0.63	-0.09	51.53	-24.92	
2001-01	4749.38	9.06	0.63	0.07	51.15	-4.91	
2001-02	4469.04	8.14	0.52	-0.02	-5.06	-35.42	
2001-03	4795.3	7.85	0.61	-0.04	13.23	-59.21	
2001-04	4938.65	7.39	0.65	-0.09	58.59	-69.73	
2001-05	4852.24	8.43	0.61	0.06	65.18	-36.41	
2001-06	4746.89	8.5	0.56	0.09	37.25	-11.35	
2001-07	4552.17	7.35	0.49	-0.05	-15.54	-59.78	
2001-08	3995.05	6.24	0.3	-0.18	-70.19	-90.72	
2001-09	3701.82	5.34	0.2	-0.29	-87.86	-91.7	
2001-10	3374.44	5.18	0.09	-0.3	-90.28	-92.86	
2001-11	3376.34	5.77	0.09	-0.22	-88.68	-79.95	
2001-12	3415.6	6.36	0.1	-0.14	-83.42	-55.36	
2002-01	2936.04	4.99	-0.06	-0.32	-97.32	-82.54	
2002-02	3024.96	4.95	-0.03	-0.33	-87.86	-85.53	
2002-03	3254.89	6.15	0.04	-0.16	-71.09	-54.46	
2002-04	3184.46	6.85	0.01	-0.05	-75.33	-2.07	
2002-05	3124.36	7.28	-0.01	0.01	-80.75	22.97	
2002-06	3167.18	5.92	0	-0.18	-78.57	-4.69	
2002-07	3468.64	7.04	0.09	-0.02	-11.72	30.86	
2002-08	3421.32	7.6	0.07	0.05	9.82	57.02	
2002-09	3330.59	6.84	0.03	-0.05	0.45	49.24	
2002-10	3095.04	6.4	-0.05	-0.12	-39.38	12.7	
2002-11	2971.03	6.29	-0.09	-0.13	-57.91	7.4	
2002-12	2845.22	5.97	-0.13	-0.18	-74.68	-35.47	
