month	平均成交价格	noise_avg_平均成交价格
2004-12	5.73	-100	
2005-01	5.4	-100	
2005-02	5.58	-91.3	
2005-03	5.84	-73.91	
2005-04	5.51	-91.3	
2005-05	4.84	-100	
2005-06	4.76	-100	
2005-07	4.3	-100	
2005-08	4.42	-91.3	
2005-09	4.6	-82.61	
2005-10	4.78	-73.91	
2005-11	4.3	-82.61	
2005-12	4.58	-65.22	
2006-01	4.91	-26.09	
2006-02	4.92	-8.7	
2006-03	4.97	21.74	
2006-04	5.28	39.13	
2006-05	5.79	47.83	
2006-06	5.66	47.83	
2006-07	5.85	65.22	
2006-08	5.42	47.83	
2006-09	5.46	52.17	
2006-10	5.39	30.43	
2006-11	5.77	56.52	
2006-12	6.3	73.91	
2007-01	7.42	91.3	
2007-02	7.91	100	
2007-03	8.65	100	
2007-04	11	100	
2007-05	13.48	100	
2007-06	13.33	91.3	
2007-07	12.73	91.3	
2007-08	14.78	100	
2007-09	15.87	100	
2007-10	17.98	100	
2007-11	17.26	91.3	
2007-12	15.77	73.91	
2008-01	17.36	91.3	
2008-02	16.52	73.91	
2008-03	15.04	30.43	
2008-04	13.62	-4.35	
2008-05	13.88	-13.04	
2008-06	11.1	-39.13	
2008-07	10.55	-47.83	
2008-08	8.6	-56.52	
2008-09	7.64	-65.22	
2008-10	7.17	-73.91	
2008-11	6.49	-91.3	
2008-12	6.87	-82.61	
2009-01	7.22	-65.22	
2009-02	8.12	-56.52	
2009-03	8.71	-39.13	
2009-04	9.46	-8.7	
2009-05	9.79	21.74	
2009-06	10.35	30.43	
2009-07	11.35	39.13	
2009-08	11.45	47.83	
2009-09	10.97	39.13	
2009-10	11.31	47.83	
2009-11	11.4	73.91	
2009-12	11.86	73.91	
2010-01	12.34	82.61	
2010-02	11.66	65.22	
2010-03	11.76	65.22	
2010-04	12.51	91.3	
2010-05	11.16	47.83	
2010-06	10.57	-34.78	
2010-07	9.17	-56.52	
2010-08	10.27	-47.83	
2010-09	11.47	-21.74	
2010-10	12.41	8.7	
2010-11	12.92	47.83	
2010-12	20.52	100	
2011-01	11.71	65.22	
2011-02	12.32	56.52	
2011-03	12.56	47.83	
2011-04	11.76	4.35	
2011-05	11.37	-30.43	
2011-06	11.37	-60.87	
2011-07	11.67	-47.83	
2011-08	10.61	-65.22	
2011-09	10.17	-65.22	
2011-10	9.28	-73.91	
2011-11	9.89	-65.22	
2011-12	8.86	-100	
2012-01	8.65	-100	
2012-02	9.07	-91.3	
2012-03	9.67	-65.22	
2012-04	8.99	-73.91	
2012-05	9.72	-43.48	
2012-06	9.48	-30.43	
2012-07	9.03	-56.52	
2012-08	8.4	-91.3	
2012-09	8.06	-100	
2012-10	7.48	-100	
2012-11	7.36	-100	
2012-12	7.64	-86.96	
2013-01	8.45	-65.22	
2013-02	8.91	-30.43	
2013-03	8.76	-13.04	
2013-04	8.58	0	
2013-05	9.1	34.78	
2013-06	8.57	34.78	
2013-07	8.4	4.35	
2013-08	8.31	-21.74	
2013-09	8.47	-8.7	
2013-10	8.82	17.39	
2013-11	8.78	4.35	
2013-12	8.68	21.74	
