month	平均成交价格	deviate_avg_12_平均成交价格
2002-12	8.42	-0.11	
2003-01	7.25	-0.22	
2003-02	8.44	-0.09	
2003-03	8.64	-0.05	
2003-04	8.04	-0.1	
2003-05	8.25	-0.06	
2003-06	8.15	-0.06	
2003-07	8.21	-0.04	
2003-08	8.09	-0.03	
2003-09	8.35	0.02	
2003-10	6.98	-0.14	
2003-11	6.63	-0.17	
2003-12	7.28	-0.07	
2004-01	7.74	-0.02	
2004-02	8.21	0.04	
2004-03	8.49	0.08	
2004-04	8.66	0.09	
2004-05	7.78	-0.01	
2004-06	7.62	-0.03	
2004-07	6.68	-0.13	
2004-08	6.31	-0.17	
2004-09	6.21	-0.16	
2004-10	6.58	-0.1	
2004-11	6.1	-0.16	
2004-12	5.73	-0.2	
2005-01	5.4	-0.23	
2005-02	5.58	-0.17	
2005-03	5.84	-0.11	
2005-04	5.51	-0.12	
2005-05	4.84	-0.2	
2005-06	4.76	-0.18	
2005-07	4.3	-0.23	
2005-08	4.42	-0.19	
2005-09	4.6	-0.13	
2005-10	4.78	-0.07	
2005-11	4.3	-0.14	
2005-12	4.58	-0.07	
2006-01	4.91	0.01	
2006-02	4.92	0.02	
2006-03	4.97	0.05	
2006-04	5.28	0.12	
2006-05	5.79	0.21	
2006-06	5.66	0.16	
2006-07	5.85	0.17	
2006-08	5.42	0.06	
2006-09	5.46	0.06	
2006-10	5.39	0.03	
2006-11	5.77	0.08	
2006-12	6.3	0.15	
2007-01	7.42	0.3	
2007-02	7.91	0.33	
2007-03	8.65	0.39	
2007-04	11	0.64	
2007-05	13.48	0.83	
2007-06	13.33	0.67	
2007-07	12.73	0.49	
2007-08	14.78	0.58	
2007-09	15.87	0.55	
2007-10	17.98	0.6	
2007-11	17.26	0.41	
2007-12	15.77	0.21	
2008-01	17.36	0.25	
2008-02	16.52	0.13	
2008-03	15.04	0	
2008-04	13.62	-0.11	
2008-05	13.88	-0.1	
2008-06	11.1	-0.27	
2008-07	10.55	-0.3	
2008-08	8.6	-0.41	
2008-09	7.64	-0.45	
2008-10	7.17	-0.44	
2008-11	6.49	-0.46	
2008-12	6.87	-0.39	
2009-01	7.22	-0.31	
2009-02	8.12	-0.16	
2009-03	8.71	-0.05	
2009-04	9.46	0.07	
2009-05	9.79	0.15	
2009-06	10.35	0.23	
2009-07	11.35	0.34	
2009-08	11.45	0.31	
2009-09	10.97	0.22	
2009-10	11.31	0.21	
2009-11	11.4	0.17	
2009-12	11.86	0.17	
2010-01	12.34	0.17	
2010-02	11.66	0.07	
2010-03	11.76	0.06	
2010-04	12.51	0.1	
2010-05	11.16	-0.03	
2010-06	10.57	-0.08	
2010-07	9.17	-0.19	
2010-08	10.27	-0.09	
2010-09	11.47	0.02	
2010-10	12.41	0.09	
2010-11	12.92	0.12	
2010-12	20.52	0.68	
2011-01	11.71	-0.04	
2011-02	12.32	0.01	
2011-03	12.56	0.02	
2011-04	11.76	-0.04	
2011-05	11.37	-0.07	
2011-06	11.37	-0.08	
2011-07	11.67	-0.07	
2011-08	10.61	-0.16	
2011-09	10.17	-0.18	
2011-10	9.28	-0.24	
2011-11	9.89	-0.17	
2011-12	8.86	-0.19	
2012-01	8.65	-0.19	
2012-02	9.07	-0.13	
2012-03	9.67	-0.05	
2012-04	8.99	-0.1	
2012-05	9.72	-0.01	
2012-06	9.48	-0.02	
2012-07	9.03	-0.04	
2012-08	8.4	-0.09	
2012-09	8.06	-0.11	
2012-10	7.48	-0.16	
2012-11	7.36	-0.16	
2012-12	7.64	-0.11	
2013-01	8.45	-0.02	
2013-02	8.91	0.04	
2013-03	8.76	0.03	
2013-04	8.58	0.01	
2013-05	9.1	0.08	
2013-06	8.57	0.03	
2013-07	8.4	0.01	
2013-08	8.31	0	
2013-09	8.47	0.02	
2013-10	8.82	0.04	
2013-11	8.78	0.02	
2013-12	8.68	0	
