month	票值价格	noise_avg_票值价格
2004-12	5.45	-100	
2005-01	5.2	-100	
2005-02	5.69	-82.61	
2005-03	5.14	-91.3	
2005-04	4.97	-100	
2005-05	4.53	-100	
2005-06	4.5	-100	
2005-07	4.43	-100	
2005-08	4.71	-73.91	
2005-09	4.7	-82.61	
2005-10	4.41	-91.3	
2005-11	4.36	-100	
2005-12	4.53	-65.22	
2006-01	4.9	-34.78	
2006-02	4.99	13.04	
2006-03	4.92	21.74	
2006-04	5.24	39.13	
2006-05	5.97	56.52	
2006-06	6	65.22	
2006-07	5.12	39.13	
2006-08	5.2	39.13	
2006-09	5.45	52.17	
2006-10	5.01	17.39	
2006-11	5.7	39.13	
2006-12	7.06	73.91	
2007-01	8.18	100	
2007-02	8.68	100	
2007-03	9.78	100	
2007-04	11.89	100	
2007-05	12.79	100	
2007-06	11.8	91.3	
2007-07	13.95	100	
2007-08	16.25	100	
2007-09	17.32	100	
2007-10	18.87	100	
2007-11	17.54	91.3	
2007-12	19.29	100	
2008-01	16.33	65.22	
2008-02	16.42	56.52	
2008-03	13.05	4.35	
2008-04	13.5	-4.35	
2008-05	12.41	-39.13	
2008-06	9.74	-47.83	
2008-07	9.88	-47.83	
2008-08	8.37	-65.22	
2008-09	7.94	-73.91	
2008-10	5.99	-82.61	
2008-11	6.55	-82.61	
2008-12	6.44	-91.3	
2009-01	7.05	-73.91	
2009-02	7.43	-65.22	
2009-03	8.54	-39.13	
2009-04	8.9	-4.35	
2009-05	9.38	21.74	
2009-06	10.38	39.13	
2009-07	11.88	39.13	
2009-08	9.39	30.43	
2009-09	9.77	39.13	
2009-10	10.67	39.13	
2009-11	11.59	73.91	
2009-12	11.86	73.91	
2010-01	10.89	65.22	
2010-02	11.27	65.22	
2010-03	11.54	73.91	
2010-04	10.63	39.13	
2010-05	9.63	-26.09	
2010-06	8.82	-56.52	
2010-07	8.93	-47.83	
2010-08	9.08	-65.22	
2010-09	9.14	-56.52	
2010-10	10.26	-39.13	
2010-11	9.88	-39.13	
2010-12	9.84	-26.09	
2011-01	9.63	-39.13	
2011-02	10.18	47.83	
2011-03	10.13	30.43	
2011-04	10.01	43.48	
2011-05	9.16	-34.78	
2011-06	9.23	-47.83	
2011-07	9.08	-78.26	
2011-08	8.72	-91.3	
2011-09	7.9	-82.61	
2011-10	8.24	-86.96	
2011-11	7.83	-100	
2011-12	7.22	-100	
2012-01	7.41	-91.3	
2012-02	8	-73.91	
2012-03	7.45	-91.3	
2012-04	7.85	-65.22	
2012-05	7.78	-47.83	
2012-06	7.26	-82.61	
2012-07	6.78	-100	
2012-08	6.63	-100	
2012-09	6.76	-91.3	
2012-10	6.7	-91.3	
2012-11	6.27	-100	
2012-12	7.24	-47.83	
2013-01	7.64	-13.04	
2013-02	7.68	13.04	
2013-03	7.29	13.04	
2013-04	7.1	13.04	
2013-05	7.6	39.13	
2013-06	6.43	-26.09	
2013-07	6.55	-78.26	
2013-08	6.89	-82.61	
2013-09	7.2	-56.52	
2013-10	7.04	-39.13	
2013-11	7.37	8.7	
2013-12	7.07	8.7	
2014-01	6.98	13.04	
2014-02	7.08	26.09	
2014-03	6.91	-47.83	
2014-04	6.81	-78.26	
2014-05	6.83	-82.61	
2014-06	6.88	-78.26	
2014-07	7.33	-21.74	
2014-08	7.49	30.43	
2014-09	8.1	91.3	
2014-10	8.26	100	
2014-11	8.98	100	
2014-12	10.12	100	
2015-01	10.34	100	
2015-02	10.86	100	
2015-03	12.6	100	
2015-04	14.67	100	
2015-05	16.03	100	
2015-06	14.43	86.96	
2015-07	12.3	65.22	
2015-08	10.63	39.13	
2015-09	10.02	4.35	
2015-10	11.3	-4.35	
2015-11	11.84	-13.04	
2015-12	12.35	4.35	
2016-01	9.34	-39.13	
2016-02	9.15	-56.52	
2016-03	10.41	-39.13	
2016-04	10.16	-39.13	
2016-05	9.94	-56.52	
2016-06	10	-65.22	
2016-07	9.96	-73.91	
2016-08	10.39	-21.74	
2016-09	10.13	-21.74	
2016-10	10.47	4.35	
2016-11	10.95	56.52	
2016-12	10.41	39.13	
2017-01	10.48	47.83	
2017-02	10.87	65.22	
2017-03	10.84	65.22	
2017-04	10.51	39.13	
2017-05	10.09	-8.7	
2017-06	10.31	-30.43	
2017-07	10.35	-21.74	
2017-08	10.68	-4.35	
2017-09	10.77	21.74	
2017-10	10.92	73.91	
2017-11	10.58	65.22	
