month	ct_avg_Tdx平均成交价	deviate_avg_100_ct_avg_Tdx平均成交价
2013-04	10.13	-0.07	
2013-05	10.39	-0.05	
2013-06	9.4	-0.14	
2013-07	9.26	-0.16	
2013-08	9.36	-0.15	
2013-09	9.29	-0.16	
2013-10	9.37	-0.16	
2013-11	9.41	-0.16	
2013-12	9.55	-0.15	
2014-01	9.5	-0.15	
2014-02	9.33	-0.17	
2014-03	8.72	-0.23	
2014-04	9.01	-0.21	
2014-05	8.54	-0.25	
2014-06	8.91	-0.22	
2014-07	8.64	-0.25	
2014-08	8.82	-0.23	
2014-09	8.89	-0.23	
2014-10	8.58	-0.26	
2014-11	8.72	-0.25	
2014-12	10.86	-0.07	
2015-01	12.41	0.06	
2015-02	12.47	0.06	
2015-03	12.74	0.08	
2015-04	14.26	0.2	
2015-05	15.66	0.31	
2015-06	15.15	0.26	
2015-07	12.93	0.07	
2015-08	12.34	0.02	
2015-09	11.23	-0.07	
2015-10	12.26	0.02	
2015-11	13.37	0.12	
2015-12	13.59	0.14	
2016-01	10.77	-0.09	
2016-02	9.92	-0.15	
2016-03	10.73	-0.08	
2016-04	11.06	-0.04	
2016-05	10.85	-0.05	
2016-06	12.15	0.07	
2016-07	11.98	0.06	
2016-08	11.65	0.04	
2016-09	11.54	0.03	
2016-10	10.35	-0.07	
2016-11	10.35	-0.07	
2016-12	10.44	-0.06	
2017-01	10.2	-0.09	
2017-02	10.43	-0.07	
2017-03	11.51	0.03	
2017-04	10.93	-0.03	
2017-05	10.75	-0.05	
2017-06	12.34	0.09	
2017-07	11.76	0.04	
2017-08	11.73	0.04	
2017-09	12.56	0.11	
2017-10	12.8	0.13	
2017-11	13.4	0.18	
2017-12	13.89	0.23	
2018-01	13.16	0.16	
2018-02	12.98	0.15	
2018-03	13.68	0.21	
2018-04	13.58	0.2	
2018-05	13.99	0.24	
2018-06	13.65	0.21	
2018-07	12.51	0.11	
2018-08	12.26	0.09	
2018-09	12.22	0.08	
2018-10	11.17	-0.01	
2018-11	10.67	-0.05	
2018-12	11.36	0.01	
2019-01	10.79	-0.04	
2019-02	10.5	-0.07	
2019-03	11.89	0.06	
2019-04	12.93	0.15	
2019-05	12.73	0.14	
2019-06	12.91	0.15	
2019-07	13.79	0.23	
2019-08	14.17	0.27	
2019-09	14.65	0.31	
2019-10	15.24	0.35	
2019-11	14.34	0.27	
2019-12	13.59	0.2	
2020-01	15.34	0.35	
2020-02	15.11	0.33	
2020-03	14.95	0.31	
2020-04	15.15	0.32	
2020-05	15.85	0.37	
2020-06	15.81	0.36	
2020-07	17.15	0.47	
2020-08	17.61	0.5	
2020-09	18.21	0.54	
2020-10	19.56	0.65	
2020-11	18.16	0.52	
2020-12	19.45	0.61	
2021-01	22.05	0.81	
2021-02	21.2	0.72	
2021-03	17.56	0.42	
2021-04	19.28	0.54	
2021-05	20.05	0.59	
2021-06	23.25	0.83	
2021-07	22.63	0.76	
2021-08	21.73	0.68	
2021-09	17.53	0.35	
2021-10	20.47	0.56	
2021-11	21.52	0.62	
2021-12	20.05	0.5	
2022-01	20.16	0.5	
2022-02	19.3	0.42	
2022-03	19.2	0.4	
2022-04	17.48	0.27	
2022-05	18.13	0.31	
2022-06	19.85	0.42	
2022-07	22.62	0.61	
2022-08	22.87	0.61	
2022-09	19.89	0.39	
2022-10	20.45	0.42	
2022-11	18.04	0.24	
2022-12	18.49	0.26	
2023-01	20.27	0.37	
2023-02	19.15	0.29	
2023-03	17.28	0.16	
2023-04	20.03	0.33	
2023-05	16.51	0.09	
2023-06	19.35	0.28	
2023-07	18.81	0.24	
2023-08	17.33	0.14	
2023-09	17.08	0.12	
2023-10	16.97	0.11	
2023-11	16.68	0.09	
2023-12	16.31	0.06	
2024-01	15.14	-0.02	
2024-02	15.11	-0.02	
2024-03	17.72	0.15	
2024-04	15.38	-0.01	
2024-05	15.49	0	
2024-06	16.37	0.05	
2024-07	15.72	0.01	
2024-08	14.68	-0.06	
2024-09	14.52	-0.08	
2024-10	18.73	0.19	
2024-11	18.86	0.19	
2024-12	18.89	0.19	
2025-01	19.41	0.21	
2025-02	22.02	0.37	
