month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
1999-11	0.6	30.95	
1999-12	0.56	-0.72	
2000-01	0.54	-26.18	
2000-02	0.56	-27.27	
2000-03	0.59	-6.91	
2000-04	0.63	24.73	
2000-05	0.61	22.87	
2000-06	0.73	57.18	
2000-07	0.79	69.01	
2000-08	0.82	69.91	
2000-09	0.73	51.11	
2000-10	0.71	43.17	
2000-11	0.77	65.02	
2000-12	0.76	67.22	
2001-01	0.79	78.06	
2001-02	0.79	78.32	
2001-03	0.78	70.98	
2001-04	0.8	80.53	
2001-05	0.78	61.76	
2001-06	0.8	66.24	
2001-07	0.79	65.87	
2001-08	0.71	-11.3	
2001-09	0.68	-53.21	
2001-10	0.6	-73.02	
2001-11	0.65	-67.29	
2001-12	0.65	-69.18	
2002-01	0.57	-89.55	
2002-02	0.62	-76.34	
2002-03	0.65	-57.91	
2002-04	0.66	-37.74	
2002-05	0.66	-21.63	
2002-06	0.7	-10.27	
2002-07	0.88	51.01	
2002-08	0.87	64	
2002-09	0.78	55.22	
2002-10	0.73	39.58	
2002-11	0.72	23.6	
2002-12	0.68	-21.19	
2003-01	0.66	-37.32	
2003-02	0.7	-31.73	
2003-03	0.67	-47.24	
2003-04	0.68	-44.2	
2003-05	0.61	-73.21	
2003-06	0.63	-76.11	
2003-07	0.59	-88.94	
2003-08	0.58	-91.11	
2003-09	0.56	-93.75	
2003-10	0.56	-87.2	
2003-11	0.55	-89.82	
2003-12	0.58	-59.2	
2004-01	0.61	-31.46	
2004-02	0.66	10.67	
2004-03	0.67	29.04	
2004-04	0.7	55.72	
2004-05	0.66	48.83	
2004-06	0.59	3.69	
2004-07	0.6	-16.96	
2004-08	0.63	-2.56	
2004-09	0.64	6.9	
2004-10	0.58	-24.05	
2004-11	0.6	-42.69	
2004-12	0.59	-57.07	
2005-01	0.57	-61.07	
2005-02	0.5	-89.77	
2005-03	0.47	-91.81	
2005-04	0.42	-94.77	
2005-05	0.42	-90.6	
2005-06	0.41	-89.45	
2005-07	0.32	-96.3	
2005-08	0.35	-84.32	
2005-09	0.37	-71.71	
2005-10	0.33	-89.29	
2005-11	0.34	-81.74	
2005-12	0.33	-81.33	
2006-01	0.35	-60.27	
2006-02	0.35	-44.91	
2006-03	0.35	-35.71	
2006-04	0.34	-42.81	
2006-05	0.35	-39.39	
2006-06	0.39	25.04	
2006-07	0.38	36.23	
2006-08	0.34	-10.29	
2006-09	0.39	28.7	
2006-10	0.4	48.85	
2006-11	0.41	64.73	
2006-12	0.51	82.95	
2007-01	0.68	93.17	
2007-02	0.73	94.46	
2007-03	0.88	98.78	
2007-04	1.05	99.28	
2007-05	1.61	99.55	
2007-06	1.76	95.45	
2007-07	1.76	90.67	
2007-08	1.76	85.1	
2007-09	3.18	99.02	
2007-10	2.94	87.35	
2007-11	2.59	77.15	
2007-12	3.37	93.53	
2008-01	3.45	88.19	
2008-02	2.8	59.82	
2008-03	2.42	28.44	
2008-04	2.02	-3.49	
2008-05	1.9	-25.27	
2008-06	1.47	-46.29	
2008-07	1.34	-55.55	
2008-08	1.09	-76.53	
2008-09	0.78	-89.29	
2008-10	0.7	-90.8	
2008-11	0.65	-85.98	
2008-12	0.78	-70.89	
2009-01	0.85	-57.38	
2009-02	0.97	-37.28	
2009-03	0.92	-35.15	
2009-04	0.98	-6.04	
2009-05	0.95	-3.87	
2009-06	0.97	13.84	
2009-07	1.06	33.81	
2009-08	1.05	44.35	
2009-09	1.02	45.74	
2009-10	1.03	47.38	
2009-11	1.11	64.97	
2009-12	1.11	60.99	
2010-01	1.17	69.73	
2010-02	1.12	54.94	
2010-03	1.31	85.91	
2010-04	1.63	95.75	
2010-05	1.36	77.77	
2010-06	1.39	78.76	
2010-07	1.3	48.74	
2010-08	1.41	68.99	
2010-09	1.36	44.69	
2010-10	1.6	83.48	
2010-11	1.47	68.99	
2010-12	1.27	13.94	
2011-01	1.19	-25.36	
2011-02	1.22	-33.33	
2011-03	1.17	-59.94	
2011-04	1.15	-76.69	
2011-05	1.07	-89.03	
2011-06	0.94	-91.24	
2011-07	0.96	-84.48	
2011-08	0.99	-74.88	
2011-09	0.94	-87.63	
2011-10	0.87	-93.97	
2011-11	0.85	-91.92	
2011-12	0.71	-98.09	
2012-01	0.73	-88.39	
2012-02	0.76	-76.74	
2012-03	0.74	-77.48	
2012-04	0.7	-87.76	
2012-05	0.76	-61.08	
2012-06	0.75	-47.99	
2012-07	0.78	-19.56	
2012-08	0.69	-57.69	
2012-09	0.6	-86.43	
2012-10	0.61	-85.32	
2012-11	0.59	-88.35	
2012-12	0.6	-80.87	
2013-01	0.65	-53.3	
2013-02	0.65	-38.45	
2013-03	0.61	-59.52	
2013-04	0.57	-78.42	
2013-05	0.56	-82.55	
2013-06	0.51	-88.5	
2013-07	0.45	-94.95	
2013-08	0.45	-87.34	
2013-09	0.55	-49.15	
2013-10	0.54	-41.17	
2013-11	0.52	-48.94	
