month	ct_avg_Tdx收盘价	ct_avg_前复权价格	deviate_avg_100_ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价	deviate_avg_100_ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2016-02	7.34	0.21	-0.36	-87.86	-0.25	-79.82	
2016-03	7.71	0.22	-0.31	-75.23	-0.21	-74.22	
2016-04	7.62	0.22	-0.3	-79.6	-0.19	-73.44	
2016-05	7.26	0.21	-0.32	-93.28	-0.22	-81.33	
2016-06	7.23	0.21	-0.31	-91.29	-0.22	-74.87	
2016-07	7.3	0.21	-0.29	-78.1	-0.19	-66.24	
2016-08	7.36	0.21	-0.28	-69.53	-0.19	-58.27	
2016-09	7.33	0.21	-0.28	-61.7	-0.19	-49.06	
2016-10	7.34	0.21	-0.27	-62.33	-0.19	-39.85	
2016-11	7.45	0.21	-0.25	-36.93	-0.19	-32.39	
2016-12	7.8	0.22	-0.21	13.6	-0.12	5.4	
2017-01	8.42	0.24	-0.15	43.7	-0.04	37.3	
2017-02	8.38	0.24	-0.15	46.58	-0.04	38.24	
2017-03	7.99	0.23	-0.19	40.53	-0.08	30.01	
2017-04	7.91	0.23	-0.19	36.36	-0.08	18.95	
2017-05	7.65	0.22	-0.22	0.04	-0.12	-8.61	
2017-06	7.71	0.22	-0.21	-10.07	-0.12	-15.91	
2017-07	7.97	0.23	-0.18	13.56	-0.08	7.95	
2017-08	8.06	0.23	-0.17	45.11	-0.08	33.27	
2017-09	8.04	0.23	-0.16	60.46	-0.08	20.45	
2017-10	8.12	0.24	-0.15	64.34	-0.04	34.09	
2017-11	8.32	0.24	-0.12	81.25	-0.04	51.38	
2017-12	8.04	0.24	-0.15	48.13	-0.04	45.11	
2018-01	8.84	0.26	-0.06	82.51	0.04	67.82	
2018-02	8.41	0.24	-0.1	71.55	-0.04	57.62	
2018-03	7.93	0.23	-0.15	23.86	-0.08	12.13	
2018-04	7.61	0.22	-0.17	-10.02	-0.12	-19	
2018-05	8.02	0.23	-0.13	2.35	-0.04	-5.03	
2018-06	7.68	0.23	-0.16	-31.65	-0.04	-15.85	
2018-07	7.52	0.22	-0.17	-60.27	-0.08	-39.33	
2018-08	7.99	0.23	-0.11	-29.62	-0.04	-3.07	
2018-09	8.58	0.25	-0.05	18.56	0.04	41.68	
2018-10	8.65	0.26	-0.04	37.95	0.08	44.84	
2018-11	7.92	0.23	-0.11	10.15	-0.04	18.75	
2018-12	7.53	0.22	-0.16	-36.61	-0.08	-20.62	
2019-01	7.3	0.22	-0.18	-61.81	-0.08	-40.58	
2019-02	7.58	0.22	-0.14	-58.21	-0.08	-36.55	
2019-03	7.74	0.23	-0.12	-50	-0.04	-11.01	
2019-04	7.64	0.23	-0.13	-48.64	-0.04	-5.44	
2019-05	7.22	0.21	-0.17	-72.01	-0.12	-47.46	
