month	ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx收盘价
2008-12	14.17	0.25	
2009-01	15.06	0.33	
2009-02	15.97	0.42	
2009-03	15.36	0.37	
2009-04	15.82	0.42	
2009-05	15.51	0.4	
2009-06	15.47	0.41	
2009-07	16.18	0.47	
2009-08	17.16	0.57	
2009-09	18.36	0.68	
2009-10	19.15	0.76	
2009-11	20.72	0.9	
2009-12	20.8	0.9	
2010-01	20.82	0.9	
2010-02	23.05	1.1	
2010-03	24.34	1.2	
2010-04	26.85	1.41	
2010-05	27.57	1.46	
2010-06	26.41	1.33	
2010-07	23.64	1.06	
2010-08	24.54	1.12	
2010-09	26.06	1.22	
2010-10	24.37	1.05	
2010-11	26.79	1.23	
2010-12	25.08	1.06	
2011-01	22.83	0.85	
2011-02	23.11	0.86	
2011-03	22.7	0.81	
2011-04	21.2	0.67	
2011-05	20.06	0.57	
2011-06	18.32	0.43	
2011-07	19.08	0.48	
2011-08	20	0.54	
2011-09	19.97	0.52	
2011-10	18.73	0.42	
2011-11	20.14	0.51	
2011-12	19.23	0.43	
2012-01	15.94	0.18	
2012-02	16.5	0.22	
2012-03	17.37	0.27	
2012-04	17.74	0.29	
2012-05	19.62	0.41	
2012-06	21.1	0.5	
2012-07	21.49	0.51	
2012-08	22.51	0.57	
2012-09	22.94	0.58	
2012-10	23.08	0.57	
2012-11	21.43	0.44	
2012-12	21.7	0.44	
2013-01	26.93	0.77	
2013-02	28.89	0.87	
2013-03	30.65	0.96	
2013-04	29.33	0.84	
2013-05	29.06	0.8	
2013-08	26	0.59	
2013-09	25.66	0.55	
2013-10	25.08	0.5	
2013-11	23.9	0.41	
2013-12	24.41	0.42	
2014-01	24.95	0.44	
2014-02	25.23	0.44	
2014-03	23.37	0.31	
2014-04	21.83	0.22	
2014-05	19.46	0.07	
2014-06	18.71	0.02	
2014-07	19.19	0.04	
2014-08	20.34	0.09	
2014-09	20.88	0.11	
2014-10	22.3	0.18	
2014-11	21.14	0.1	
2014-12	22.42	0.16	
2015-01	23.99	0.23	
2015-02	24.02	0.22	
2015-03	25.22	0.26	
2015-04	29.2	0.45	
2015-05	32.71	0.6	
2015-06	36.53	0.76	
2015-07	28.03	0.33	
2015-08	29.5	0.39	
2015-09	24.47	0.14	
2015-10	25.62	0.19	
2015-11	27.13	0.25	
2015-12	26.64	0.22	
2016-01	22.74	0.04	
2016-02	21.39	-0.03	
2016-03	21.85	-0.01	
2016-04	22.68	0.03	
2016-05	22.43	0.01	
2016-06	23.48	0.06	
2016-07	25.74	0.16	
2016-08	25.87	0.16	
2016-09	26.15	0.17	
2016-10	26.48	0.19	
2016-11	26.75	0.19	
2016-12	25.34	0.13	
2017-01	24.63	0.09	
2017-02	25.75	0.14	
2017-03	26.37	0.16	
2017-04	27.23	0.2	
2017-05	29.13	0.27	
2017-06	30.71	0.33	
2017-07	29.21	0.26	
2017-08	28.64	0.23	
2017-09	27.96	0.19	
2017-10	29.18	0.24	
2017-11	27.29	0.15	
2017-12	25.78	0.08	
2018-01	26.75	0.12	
2018-02	25.27	0.05	
2018-03	26.34	0.09	
2018-04	26.18	0.08	
2018-05	28.25	0.16	
2018-06	28.75	0.18	
2018-07	27.14	0.11	
2018-08	25.5	0.04	
2018-09	25.45	0.04	
2018-10	22.63	-0.07	
2018-11	24.33	0	
2018-12	24.06	-0.01	
2019-01	22.98	-0.06	
2019-02	24	-0.01	
2019-03	27.34	0.12	
2019-04	28.41	0.17	
2019-05	28.05	0.15	
2019-06	27.45	0.12	
2019-07	29.73	0.21	
2019-08	29.1	0.19	
2019-09	30.35	0.23	
2019-10	31.5	0.27	
2019-11	29.49	0.19	
2019-12	29.87	0.2	
2020-01	32.26	0.29	
2020-02	34.57	0.37	
2020-03	30.35	0.2	
2020-04	29.21	0.15	
2020-05	28.17	0.1	
2020-06	28.28	0.11	
2020-07	30.3	0.18	
2020-08	29.59	0.14	
2020-09	26.89	0.04	
2020-10	26.42	0.01	
2020-11	27.36	0.05	
2020-12	25.84	-0.01	
2021-01	25.96	-0.01	
2021-02	26.07	-0.01	
2021-03	25.4	-0.03	
2021-04	24.2	-0.08	
2021-05	25.62	-0.03	
2021-06	25.98	-0.01	
2021-07	25.43	-0.03	
2021-08	25.13	-0.05	
2021-09	28.22	0.07	
2021-10	27.33	0.04	
2021-11	24.23	-0.08	
2021-12	27.65	0.05	
2022-01	36.98	0.4	
2022-02	35.99	0.36	
2022-03	38.12	0.43	
2022-04	37.94	0.42	
2022-05	40.39	0.5	
2022-06	42.45	0.57	
2022-07	40.93	0.5	
2022-08	38.71	0.41	
2022-09	37	0.34	
2022-10	46.67	0.67	
2022-11	54.5	0.93	
2022-12	49.17	0.72	
2023-01	48.02	0.67	
2023-02	49.24	0.7	
2023-03	54.22	0.85	
2023-04	57.62	0.94	
2023-05	64.32	1.13	
2023-06	61.72	1.02	
2023-07	54.46	0.77	
2023-08	49.8	0.61	
2023-09	47.86	0.54	
2023-10	44.94	0.44	
2023-11	45.63	0.45	
2023-12	48.96	0.55	
2024-01	51.61	0.62	
2024-02	55.43	0.72	
2024-03	53.75	0.66	
2024-04	56.34	0.72	
2024-05	61.71	0.86	
2024-06	52.47	0.57	
2024-07	42.28	0.26	
2024-08	42.84	0.27	
2024-09	41.54	0.22	
2024-10	47.3	0.38	
2024-11	47.17	0.37	
2024-12	45.32	0.31	
2025-01	43.62	0.25	
2025-02	44.3	0.26	
