month	ct_avg_Tdx平均成交价	deviate_avg_100_ct_avg_Tdx平均成交价
2018-09	10.8	-0.5	
2018-10	10.49	-0.51	
2018-11	10.14	-0.52	
2018-12	9.95	-0.53	
2019-01	9.66	-0.53	
2019-02	10.3	-0.5	
2019-03	11.76	-0.42	
2019-04	11.95	-0.4	
2019-05	11.22	-0.43	
2019-06	11.39	-0.41	
2019-07	12.23	-0.36	
2019-08	12.76	-0.33	
2019-09	13.52	-0.28	
2019-10	13.02	-0.31	
2019-11	14.18	-0.24	
2019-12	13.81	-0.26	
2020-01	14.07	-0.24	
2020-02	14.94	-0.19	
2020-03	14.26	-0.22	
2020-04	13.69	-0.25	
2020-05	15.32	-0.16	
2020-06	15.4	-0.16	
2020-07	17.27	-0.05	
2020-08	16.14	-0.11	
2020-09	13.54	-0.25	
2020-10	16.07	-0.12	
2020-11	17.44	-0.04	
2020-12	18.26	0	
2021-01	20.63	0.13	
2021-02	20.38	0.11	
2021-03	17.27	-0.06	
2021-04	18.49	0	
2021-05	17.93	-0.03	
2021-06	17.54	-0.05	
2021-07	18.88	0.02	
2021-08	19.34	0.04	
2021-09	18.02	-0.03	
2021-10	19.8	0.06	
2021-11	19.32	0.04	
2021-12	17.82	-0.04	
2022-01	16.9	-0.09	
2022-02	17.28	-0.07	
2022-03	17.31	-0.07	
2022-04	15.57	-0.16	
2022-05	15.32	-0.17	
2022-06	16.87	-0.09	
2022-07	18.01	-0.02	
2022-08	17.93	-0.03	
2022-09	18.04	-0.02	
2022-10	18.06	-0.02	
2022-11	16.99	-0.08	
2022-12	16.54	-0.1	
2023-01	18.14	-0.02	
2023-02	15.86	-0.14	
2023-03	16.61	-0.1	
2023-04	18.43	0.01	
2023-05	17.24	-0.06	
2023-06	18.12	-0.01	
2023-07	17.77	-0.02	
2023-08	17.63	-0.02	
2023-09	16.81	-0.05	
2023-10	15.82	-0.1	
2023-11	15.77	-0.09	
2023-12	16.07	-0.07	
2024-01	15.01	-0.13	
2024-02	12.41	-0.28	
2024-03	15.14	-0.11	
2024-04	13.94	-0.17	
2024-05	13.93	-0.17	
2024-06	14.02	-0.16	
2024-07	13.03	-0.22	
2024-08	10.91	-0.34	
2024-09	11.23	-0.31	
2024-10	17.25	0.06	
2024-11	17	0.05	
2024-12	16.91	0.05	
2025-01	17.24	0.07	
2025-02	18.53	0.15	
