month	票值价格	noise_avg_票值价格
2004-12	5.42	-100	
2005-01	5.21	-100	
2005-02	5.68	-82.61	
2005-03	5.13	-91.3	
2005-04	5.01	-100	
2005-05	4.55	-100	
2005-06	4.55	-95.65	
2005-07	4.52	-100	
2005-08	4.76	-73.91	
2005-09	4.74	-82.61	
2005-10	4.43	-91.3	
2005-11	4.4	-100	
2005-12	4.6	-65.22	
2006-01	4.96	-30.43	
2006-02	5.06	13.04	
2006-03	4.98	30.43	
2006-04	5.35	39.13	
2006-05	6.01	56.52	
2006-06	6	60.87	
2006-07	5.01	30.43	
2006-08	5.06	21.74	
2006-09	5.32	30.43	
2006-10	4.8	-21.74	
2006-11	5.47	-4.35	
2006-12	6.97	73.91	
2007-01	8	100	
2007-02	8.36	100	
2007-03	9.41	100	
2007-04	11.27	100	
2007-05	12.06	100	
2007-06	11.19	91.3	
2007-07	13.18	100	
2007-08	15.39	100	
2007-09	16.47	100	
2007-10	18.55	100	
2007-11	17.6	91.3	
2007-12	19.04	100	
2008-01	15.87	65.22	
2008-02	15.79	47.83	
2008-03	12.53	4.35	
2008-04	13.17	-4.35	
2008-05	12.1	-39.13	
2008-06	9.61	-47.83	
2008-07	9.72	-47.83	
2008-08	8.34	-65.22	
2008-09	7.97	-65.22	
2008-10	6	-82.61	
2008-11	6.49	-82.61	
2008-12	6.31	-91.3	
2009-01	6.9	-73.91	
2009-02	7.23	-73.91	
2009-03	8.24	-47.83	
2009-04	8.57	-13.04	
2009-05	9.06	21.74	
2009-06	10.12	39.13	
2009-07	11.53	39.13	
2009-08	9.04	30.43	
2009-09	9.37	39.13	
2009-10	10.11	39.13	
2009-11	10.84	65.22	
2009-12	11.08	65.22	
2010-01	10.1	56.52	
2010-02	10.33	56.52	
2010-03	10.52	65.22	
2010-04	9.67	0	
2010-05	8.66	-47.83	
2010-06	7.93	-56.52	
2010-07	7.81	-73.91	
2010-08	7.73	-82.61	
2010-09	7.75	-82.61	
2010-10	8.72	-56.52	
2010-11	8.19	-56.52	
2010-12	8.16	-65.22	
2011-01	8.16	-52.17	
2011-02	8.52	-13.04	
2011-03	8.59	26.09	
2011-04	8.62	30.43	
2011-05	7.98	-26.09	
2011-06	7.96	-39.13	
2011-07	7.72	-86.96	
2011-08	7.34	-100	
2011-09	6.76	-100	
2011-10	7.08	-91.3	
2011-11	6.68	-100	
2011-12	6.32	-100	
2012-01	6.6	-91.3	
2012-02	7	-65.22	
2012-03	6.51	-86.96	
2012-04	6.89	-56.52	
2012-05	6.79	-47.83	
2012-06	6.33	-86.96	
2012-07	5.97	-100	
2012-08	5.81	-100	
2012-09	5.92	-91.3	
2012-10	5.88	-91.3	
2012-11	5.62	-100	
2012-12	6.45	-47.83	
2013-01	6.78	-13.04	
2013-02	6.73	13.04	
2013-03	6.36	13.04	
2013-04	6.19	-4.35	
2013-05	6.52	39.13	
2013-06	5.54	-47.83	
2013-07	5.56	-82.61	
2013-08	5.83	-91.3	
2013-09	6.05	-73.91	
2013-10	5.95	-65.22	
2013-11	6.16	-30.43	
2013-12	5.87	-47.83	
