month	ct_avg_Tdx平均成交价	ct_avg_noise_avg_Tdx平均成交价
1992-12	12.87	-35.62	
1993-01	15.68	-13.84	
1993-02	21.47	25.22	
1993-03	18.43	31.95	
1993-04	19.27	38.72	
1993-05	17.55	43.24	
1993-06	15.89	13.43	
1993-07	12.21	-26.95	
1993-08	11.91	-44.16	
1993-09	11.02	-59.17	
1993-10	14.62	-34.11	
1993-11	13.83	-31.66	
1993-12	12.98	-42.59	
1994-01	9.6	-81.08	
1994-02	9.29	-82.92	
1994-03	10.74	-73.72	
1994-04	8.15	-91.07	
1994-05	6.19	-95.96	
1994-06	5.42	-90.38	
1994-07	5.07	-94.6	
1994-08	7.38	-63.24	
1994-09	10.17	-15.02	
1994-10	8.2	-17.81	
1994-11	8.68	-7.51	
1994-12	8.46	-10.1	
1995-01	6.5	-31.06	
1995-02	5.42	-63.92	
1995-03	7.92	-29.15	
1995-04	7.08	-27.72	
1995-05	10.12	-2.48	
1995-06	5.92	-17.74	
1995-07	4.98	-52.98	
1995-08	5.14	-78.92	
1995-09	5.29	-80.02	
1995-10	5.78	-62.19	
1995-11	5.83	-49.11	
1995-12	5.54	-49.7	
1996-01	4.31	-79.14	
1996-02	4.89	-74.11	
1996-03	5.34	-50.31	
1996-04	6.01	-10.88	
1996-05	5.92	1.66	
1996-06	7.78	53.26	
1996-07	8.33	70.38	
1996-08	8.1	81.01	
1996-09	8.67	80.54	
1996-10	8.11	75.17	
1996-11	8.45	81.38	
1996-12	9.27	86.57	
1997-01	8.71	74.19	
1997-02	9.02	82.68	
1997-03	10.66	96.56	
1997-04	11.97	96.1	
1997-05	13.66	97.81	
1997-06	13.52	89.82	
1997-07	11.48	64.53	
1997-08	9.31	16.54	
1997-09	8.59	-12.09	
1997-10	9.4	-16.29	
1997-11	9.63	-17.28	
1997-12	10.52	4.78	
1998-01	11.04	35.42	
1998-02	10.11	4.11	
1998-03	10.74	21.47	
1998-04	8.69	-29.99	
1998-05	9.05	-49.15	
1998-06	10	-21.27	
1998-07	8.9	-61.72	
1998-08	7.02	-83.76	
1998-09	7.71	-76.91	
1998-10	8.82	-55.76	
1998-11	9.52	-13.22	
1998-12	7.76	-55.82	
1999-01	6.91	-77.95	
1999-02	6.35	-88.52	
1999-03	6.96	-77.41	
1999-04	6.82	-75.37	
1999-05	6.28	-83.66	
