month	平均成交价格	票值价格	价格溢价	成交活跃度	noise_avg_平均成交价格	noise_avg_成交量	noise_avg_票值价格	deviate_avg_12_平均成交价格	deviate_avg_12_成交量	deviate_avg_12_票值价格
2004-12	5.74	5.45	0.05	0.06	-100	-13.04	-100	-0.19	-0.26	-0.19	
2005-01	5.44	5.2	0.05	0.05	-100	-30.43	-100	-0.22	-0.32	-0.2	
2005-02	5.54	5.69	-0.03	0.05	-91.3	-30.43	-82.61	-0.18	-0.16	-0.1	
2005-03	5.86	5.14	0.14	0.09	-73.91	-21.74	-91.3	-0.1	0.23	-0.15	
2005-04	5.52	4.97	0.11	0.09	-91.3	30.43	-100	-0.12	0.32	-0.15	
2005-05	4.77	4.53	0.05	0.05	-100	-30.43	-100	-0.21	-0.26	-0.19	
2005-06	4.83	4.5	0.07	0.1	-91.3	65.22	-100	-0.17	0.46	-0.17	
2005-07	4.26	4.43	-0.04	0.07	-100	73.91	-100	-0.24	0.14	-0.17	
2005-08	4.39	4.71	-0.07	0.14	-91.3	100	-73.91	-0.2	1.07	-0.1	
2005-09	4.45	4.7	-0.05	0.12	-91.3	91.3	-82.61	-0.16	0.71	-0.07	
2005-10	4.63	4.41	0.05	0.07	-73.91	56.52	-91.3	-0.1	-0.17	-0.11	
2005-11	4.29	4.36	-0.02	0.07	-91.3	39.13	-100	-0.14	-0.04	-0.1	
2005-12	4.47	4.53	-0.01	0.07	-73.91	13.04	-65.22	-0.08	-0.08	-0.05	
2006-01	4.78	4.9	-0.02	0.1	-30.43	56.52	-34.78	-0.01	0.27	0.03	
2006-02	4.83	4.99	-0.03	0.1	-4.35	65.22	13.04	0.01	0.21	0.07	
2006-03	4.8	4.92	-0.02	0.11	4.35	65.22	21.74	0.03	0.29	0.06	
2006-04	5.17	5.24	-0.01	0.19	39.13	100	39.13	0.11	0.93	0.12	
2006-05	5.69	5.97	-0.05	0.25	39.13	100	56.52	0.21	1.22	0.24	
2006-06	5.63	6	-0.06	0.2	47.83	91.3	65.22	0.18	0.72	0.22	
2006-07	5.81	5.12	0.13	0.17	65.22	73.91	39.13	0.18	0.39	0.03	
2006-08	5.39	5.2	0.04	0.11	47.83	56.52	39.13	0.08	0.01	0.03	
2006-09	5.47	5.45	0	0.13	56.52	56.52	52.17	0.08	0.18	0.07	
2006-10	5.5	5.01	0.1	0.11	56.52	56.52	17.39	0.07	0.11	-0.03	
2006-11	5.94	5.7	0.04	0.15	82.61	82.61	39.13	0.12	0.46	0.09	
2006-12	6.39	7.06	-0.09	0.17	82.61	91.3	73.91	0.17	0.78	0.29	
2007-01	7.4	8.18	-0.1	0.24	91.3	100	100	0.31	1.2	0.43	
2007-02	7.9	8.68	-0.09	0.15	100	82.61	100	0.33	0.31	0.44	
2007-03	8.71	9.78	-0.11	0.25	100	100	100	0.39	0.91	0.52	
2007-04	11.12	11.89	-0.06	0.31	100	100	100	0.65	1.02	0.7	
2007-05	13.62	12.79	0.06	0.33	100	91.3	100	0.84	0.81	0.69	
2007-06	13.41	11.8	0.14	0.33	91.3	82.61	91.3	0.67	0.56	0.47	
2007-07	12.89	13.95	-0.08	0.17	91.3	47.83	100	0.49	-0.05	0.59	
2007-08	15.13	16.25	-0.07	0.23	100	65.22	100	0.6	0.24	0.67	
2007-09	16.07	17.32	-0.07	0.18	100	21.74	100	0.55	-0.05	0.62	
2007-10	18.04	18.87	-0.04	0.13	100	-21.74	100	0.59	-0.37	0.59	
2007-11	17.1	17.54	-0.03	0.09	91.3	-39.13	91.3	0.39	-0.52	0.37	
2007-12	16.1	19.29	-0.17	0.09	73.91	-47.83	100	0.23	-0.4	0.39	
2008-01	17.59	16.33	0.08	0.17	91.3	-21.74	65.22	0.26	-0.11	0.12	
2008-02	16.78	16.42	0.02	0.07	73.91	-56.52	56.52	0.14	-0.56	0.08	
2008-03	15.29	13.05	0.17	0.13	39.13	-47.83	4.35	0	-0.32	-0.16	
2008-04	13.66	13.5	0.01	0.11	4.35	-56.52	-4.35	-0.12	-0.22	-0.13	
2008-05	13.92	12.41	0.12	0.13	-13.04	-21.74	-39.13	-0.1	-0.1	-0.2	
2008-06	11.12	9.74	0.14	0.09	-39.13	-73.91	-47.83	-0.27	-0.29	-0.37	
2008-07	10.5	9.88	0.06	0.13	-47.83	-21.74	-47.83	-0.31	0.05	-0.34	
