month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2020-01	1.46	18.27	
2020-02	1.36	-9.91	
2020-03	1.3	-31.66	
2020-04	1.26	-45.24	
2020-05	1.25	-52.48	
2020-06	1.32	-38.3	
2020-07	1.5	8.97	
2020-08	1.51	32.19	
2020-09	1.61	54.99	
2020-10	1.59	57.48	
2020-11	1.64	69.86	
2020-12	1.73	83.73	
2021-01	1.68	78.57	
2021-02	1.75	90.71	
2021-03	2	96.16	
2021-04	2.25	96.56	
2021-05	2.18	85.12	
2021-06	2.21	83.42	
2021-07	2.15	76.5	
2021-08	2.2	71.79	
2021-09	2.76	94.29	
2021-10	2.74	90.12	
2021-11	2.45	71.23	
2021-12	2.57	76.98	
2022-01	2.44	53.67	
2022-02	2.44	39.4	
2022-03	2.38	17.28	
2022-04	2.44	14.85	
2022-05	2.67	46.05	
2022-06	2.81	76.23	
2022-07	2.91	86.22	
2022-08	2.9	87.73	
2022-09	2.96	84.01	
2022-10	2.75	58.31	
2022-11	2.67	25.33	
2022-12	2.66	12.58	
2023-01	2.73	12.44	
2023-02	2.79	27.28	
2023-03	2.9	58.46	
2023-04	2.82	51.64	
2023-05	3	74.11	
2023-06	2.95	70.13	
2023-07	2.92	56.42	
2023-08	2.98	73.18	
2023-09	3.08	90.94	
2023-10	3.14	94.49	
2023-11	3.33	98.82	
2023-12	3.58	99.45	
2024-01	3.61	90.87	
2024-02	3.81	98.4	
2024-03	3.96	93.24	
2024-04	4.04	94.55	
2024-05	3.98	83.3	
2024-06	4.43	98.73	
2024-07	4.92	98.84	
2024-08	4.92	90.02	
2024-09	4.53	68.28	
2024-10	4.39	50.89	
2024-11	4.07	12.88	
2024-12	4.07	-2.4	
2025-01	3.81	-31.95	
2025-02	3.78	-36.07	
