month	ct_avg_前复权价格	股东人数
2017-12	1.51	902593.5	
2018-03	1.31	360719	
2018-06	1.03	308160	
2018-09	0.92	284760	
2018-12	0.99	247936.5	
2019-03	1.23	213105	
2019-06	1.33	184446.5	
2019-09	1.57	156663	
2019-12	1.51	149718	
2020-03	1.3	142070	
2020-06	1.32	135358	
2020-07	1.5	128676	
2020-08	1.51	128339	
2020-09	1.61	117829.67	
2020-10	1.59	112932	
2020-12	1.73	105147	
2021-03	2	107806	
2021-06	2.21	91045	
2021-09	2.76	87639	
2021-12	2.57	99790	
2022-03	2.38	95597	
2022-06	2.81	80573	
2022-09	2.96	74311	
2022-12	2.66	77566	
2023-03	2.9	72562	
2023-06	2.95	73123	
2023-09	3.08	70274	
2023-12	3.58	73922	
2024-03	3.96	74604	
2024-06	4.43	73794	
2024-09	4.53	78166	
