month	ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价
1999-07	20.26	86.31	
1999-08	19.82	86.28	
1999-09	20.9	92.86	
1999-10	20.05	77.9	
1999-11	20.34	80.56	
1999-12	19.48	44.77	
2000-01	21.82	74.48	
2000-02	25.84	97.05	
2000-03	24.63	89.29	
2000-04	22.99	73.12	
2000-05	23.5	73.53	
2000-06	23.58	71.91	
2000-07	24.24	76.83	
2000-08	23.75	67.16	
2000-09	21.88	12.46	
2000-10	23.12	7.72	
2000-11	23.45	26.95	
2000-12	23.23	16.2	
2001-01	24.19	54.27	
2001-02	20.62	-20.44	
2001-03	20.84	-61.16	
2001-04	22.86	-31.04	
2001-05	24.83	13.03	
2001-06	22.07	2.59	
2001-07	19.96	-58.48	
2001-08	19.12	-81.21	
2001-09	20.01	-74.2	
2001-10	18.82	-88.39	
2001-11	18.85	-86.53	
2001-12	19.56	-62.33	
2002-01	18.57	-81.3	
2002-02	19.4	-65.54	
2002-03	19.95	-32.1	
2002-04	19.02	-51.06	
2002-05	18.05	-77.98	
2002-06	18.18	-83.6	
2002-07	18.66	-66.54	
2002-08	18.53	-71.79	
2002-09	18.81	-42.48	
2002-10	18.19	-72.32	
2002-11	18.02	-79.12	
2002-12	17.3	-93.79	
2003-01	16.84	-91.2	
2003-02	17.54	-73.69	
2003-03	17.75	-60.12	
2003-04	20.42	1.54	
2003-05	21.15	39.48	
2003-06	20.33	54.34	
2003-07	21.1	77.13	
2003-08	21.02	79.38	
2003-09	20.42	60.43	
2003-10	20.58	49.85	
2003-11	20.55	53.12	
2003-12	18.29	-13.35	
2004-01	17.79	-37.43	
2004-02	19.37	-26.78	
2004-03	18.86	-44.88	
2004-04	19.51	-20.37	
2004-05	19.59	-10.6	
2004-06	19.04	-20.82	
2004-07	18.76	-60.92	
2004-08	19.58	-0.45	
2004-09	20.18	38.39	
2004-10	21.01	63.78	
2004-11	21	78.77	
2004-12	20.53	70.96	
2005-01	21.86	93.03	
2005-02	22.96	97.39	
2005-03	23.64	96.31	
2005-04	23.36	86.05	
2005-05	22.14	65.68	
2005-06	21.61	35.39	
2005-07	19.57	0.93	
2005-08	19.06	-36.37	
2005-09	19.84	-37.3	
2005-10	19.74	-45.2	
2005-11	19.51	-40.08	
2005-12	14.04	-80.93	
2006-01	13.85	-88.73	
