month	ct_avg_Tdx收盘价	人均持股
1999-12	11.4	1062	
2000-06	14.78	1222	
2000-12	16.56	1309	
2001-06	17.18	1319	
2001-12	13.61	1401	
2002-06	12.75	1473	
2002-09	11.47	2443	
2002-12	9.45	2497	
2003-03	9.56	2424	
2003-06	9.51	2308	
2003-09	8.01	2320	
2003-12	9.02	2295	
2004-03	9.71	2375	
2004-06	7.91	2529	
2004-09	7.34	2593	
2004-12	7.3	2683	
2005-03	6.45	2636	
2005-06	5.68	2663	
2005-09	6.16	2697	
2005-12	5.74	2682	
2006-03	6.4	7193	
2006-06	5.63	5762	
2006-09	6.7	11393	
2006-12	8.83	10659	
2007-03	14.37	9928	
2007-06	21.53	11105	
2007-09	32.98	3516	
2007-12	25.55	2618	
2008-03	21.25	2641	
2008-06	11.68	2704	
2008-09	7.03	2746	
2008-12	6.76	2871	
2009-03	8.59	3036	
2009-06	10.49	3203	
2009-09	10.49	3872	
2009-12	13.41	3564	
2010-03	11.52	3424	
2010-06	8.77	3551	
2010-09	9.28	3544	
2010-12	9.54	3520	
2011-03	10.81	4735	
2011-06	9.33	4311	
2011-09	7.97	4872	
2011-12	6.72	7754	
2012-01	6.81	7704	
2012-03	7.68	7759	
2012-06	7.04	8034	
2012-09	6.6	8255	
2012-12	6.57	8519	
2013-03	6.59	8676	
2013-06	5.46	8833	
2013-09	5.33	8987	
2013-12	5.25	9314	
2014-03	4.82	9550	
2014-06	4.95	9735	
2014-09	6.64	10362	
2014-12	8.61	10881	
2015-03	10.45	13251	
2015-06	12.18	13681	
2015-09	6.66	13386	
2016-03	6.9	14635	
2016-06	7.39	15666	
2016-09	2.99	33798	
2016-12	3.26	28719	
2017-03	3.35	29972	
2017-06	3.27	32488	
2017-09	4.08	28838	
2017-12	3.58	30250	
2018-03	3.31	28643	
2018-05	3.09	29269	
2018-06	2.86	29718	
2018-09	2.71	30338	
2018-12	2.21	40619	
2019-03	2.71	39339	
2019-06	2.29	39618	
2019-09	2.19	40910	
2019-12	2.18	42209	
2020-03	2.12	43420	
2020-06	2.06	54631	
2020-09	2.46	57553	
2020-12	2.84	58664	
2021-03	3.74	52598	
2021-06	3.7	57942	
2021-09	5.11	50221	
2021-12	4.64	53526	
2022-03	4.46	55783	
2022-06	3.61	51254	
2022-09	3.36	51693	
2022-12	3.44	55962	
2023-03	3.51	58057	
2023-06	3.05	56709	
2023-09	3.21	60459	
2023-12	2.83	59231	
2024-03	3.28	64179	
2024-06	3.78	70872	
2024-09	3.72	75081	
