month	ct_avg_前复权价格	人均持股
2003-06	0.96	1686	
2003-09	0.84	2022	
2003-12	0.71	2181	
2004-03	0.81	2204	
2004-06	0.72	2166	
2004-09	0.77	2354	
2004-12	0.77	2319	
2005-03	0.84	2800	
2005-06	1.06	4422	
2005-09	1.13	4982	
2005-12	1.12	5459	
2006-03	1.22	4855	
2006-06	1.56	4337	
2006-09	1.57	5446	
2006-12	1.72	5639	
2007-03	2.47	5615	
2007-06	3.6	7915	
2007-09	3.19	4417	
2007-12	3.11	5363	
2008-03	3.16	6708	
2008-06	2.08	6153	
2008-09	1.46	5981	
2008-12	1.7	6532	
2009-03	2.16	3436	
2009-06	2.27	4248	
2009-09	2.85	6855	
2009-12	3.55	6393	
2010-03	3.37	5301	
2010-06	3.84	8184	
2010-09	4.59	7139	
2010-12	6.95	4427	
2011-03	5.93	3474	
2011-06	5.71	4150	
2011-09	6.01	10533	
2011-12	6.91	12484	
2012-03	6.51	11333	
2012-06	8.24	11128	
2012-09	9.29	10014	
2012-12	9.17	10086	
2013-03	11.59	10123	
2013-06	12.3	10167	
2013-09	12.61	10677	
2013-12	10.31	9134	
2014-03	8.75	6962	
2014-06	7.89	6797	
2014-09	8.83	6750	
2014-12	9.39	6799	
2015-03	11.83	11070	
2015-06	20.93	7042	
2015-09	12.99	7685	
2015-12	16.66	7875	
2016-03	13.32	7757	
2016-06	16.06	10856	
2016-09	18.84	9989	
2016-12	18.58	9530	
2017-03	19.64	10552	
2017-06	23.09	10079	
2017-09	22.65	9906	
2017-12	25.62	9274	
2018-03	33.04	10332	
2018-06	44.9	8966	
2018-09	39.39	8582	
2018-12	35.64	8234	
2019-03	43.59	9419	
2019-06	44.59	9831	
2019-09	41.4	8734	
2019-12	42.33	8672	
2020-03	50.2	9272	
2020-06	63.92	8329	
2020-09	100.46	5473	
2020-12	99.56	6300	
2021-03	112.1	4856	
2021-06	169.89	5139	
2021-09	141.54	5203	
2021-12	188.67	6428	
2022-03	130.61	5353	
2022-06	135.21	5520	
2022-09	116.93	5023	
2022-12	116.18	5458	
2023-03	121.31	5590	
2023-06	120.82	5866	
2023-09	113.26	5826	
2023-12	99.47	5514	
2024-03	96.11	5472	
2024-06	92.29	5314	
2024-09	87.25	5612	
