month	ct_avg_前复权价格	股东人数
1993-12	0.85	34609	
1994-12	0.58	22985	
1995-12	0.65	38346	
1996-12	1.47	15703	
1997-12	0.77	48505	
1998-12	0.83	41558	
1999-06	1.01	29956	
1999-12	1.17	33947	
2000-12	3.08	6139	
2001-06	3.18	16050	
2001-12	3.11	10894	
2002-06	2.14	19223	
2002-09	2.55	16268	
2002-12	2.28	14917	
2003-03	2.7	11993	
2003-06	3.1	9641	
2003-09	2.95	8370	
2003-12	3.66	6771	
2004-03	4.98	5534	
2004-06	4.13	6803	
2004-09	3.39	13402	
2004-12	3.56	11331	
2005-03	3.95	11132	
2005-06	3.44	8929	
2005-09	3.35	16208	
2005-12	2.67	16022	
2006-03	3.11	17997	
2006-06	4.59	15574	
2006-09	4.13	14916	
2006-12	7.57	10215	
2007-03	10.73	11706	
2007-06	16.52	12042	
2007-09	19.62	20203	
2007-12	18	16022	
2008-03	17.72	26512	
2008-06	9.02	76846	
2008-09	6.25	74606	
2008-12	5.34	75192	
2009-03	7.15	67182	
2009-06	10.78	99896	
2009-09	13.51	56029	
2009-12	18.13	72845	
2010-03	15.71	117430	
2010-06	11.56	146207	
2010-09	14.96	115005	
2010-12	14.09	149478	
2011-03	16.18	149714	
2011-06	13.45	180047	
2011-09	12.27	165019	
2011-12	10.68	160193	
2012-03	11.66	149117	
2012-06	11.34	143557	
2012-09	10.08	141363	
2012-12	11.08	130767	
2013-03	11.69	128614	
2013-06	11.56	125446	
2013-09	11.94	122539	
2013-12	13.02	114700	
2014-03	11.86	121947	
2014-06	13.12	109872	
2014-09	16.43	94462	
2014-12	19.3	86876	
2015-03	24.43	502	
2015-06	26.64	83	
2015-09	19.93	77	
2015-12	25.07	73	
2016-03	23.56	73	
2016-06	24.14	69	
2016-09	28.52	70	
2016-12	31.73	67	
2017-03	36.43	65	
2017-06	45.85	62	
2017-09	43.15	62	
2017-12	49.89	61	
2018-03	46.61	97378	
2018-06	46.9	58	
2018-09	45.64	57	
2018-12	41.83	56	
2019-03	45.86	56	
2019-06	42.39	55	
2019-09	43.39	54	
2020-06	40.99	53	
2020-12	83.38	46	
2021-03	93.54	45	
2021-06	111.63	44	
2021-09	92.24	44	
2021-12	94.06	44	
2022-03	75.9	45	
2022-06	88.62	45	
2022-09	81.28	44	
2022-12	75.68	44	
2023-03	73.61	44	
2023-06	73.44	43	
2023-09	82.82	44	
2023-12	80.48	43	
2024-03	94.51	43	
2024-06	103.8	43	
2024-09	112.54	43	
