month	ct_avg_前复权价格	人均持股
1996-12	3.26	3311	
1997-12	7.03	1177	
1998-12	7.21	1240	
1999-12	7.54	1894	
2000-12	8.98	1572	
2001-12	7.59	1978	
2002-06	6.52	2025	
2002-09	6.69	3120	
2002-12	6.53	3377	
2003-03	7.33	3791	
2003-06	8.75	4286	
2003-09	8.75	8375	
2003-12	8.62	7884	
2004-03	9.7	8302	
2004-06	8.8	9081	
2004-09	8.25	9484	
2004-12	7.85	8983	
2005-03	9.6	11495	
2005-06	10.41	13614	
2005-09	10.34	13607	
2005-12	11.05	15223	
2006-03	13.99	15500	
2006-06	25.64	19594	
2006-09	23.01	15564	
2006-12	25.94	18258	
2007-03	29.8	8519	
2007-06	38.27	13978	
2007-09	39.22	4658	
2007-12	32.43	3449	
2008-03	25.67	3257	
2008-06	21.89	4469	
2008-09	17.45	3437	
2008-12	12.04	4399	
2009-03	16.51	5588	
2009-06	21.05	7208	
2009-09	25.73	9827	
2009-12	36.84	11664	
2010-03	41.55	17184	
2010-06	40.71	18420	
2010-09	54.24	24775	
2010-12	54.28	17579	
2011-03	50.61	15535	
2011-06	46.12	30108	
2011-09	51.81	30017	
2011-12	57.33	36015	
2012-01	55.23	35327	
2012-03	63.9	34330	
2012-06	61.12	29930	
2012-09	57.43	36942	
2012-12	56.62	38860	
2013-03	84.8	46973	
2013-06	84.17	43022	
2013-09	114.77	43887	
2013-12	111.21	30238	
2014-03	101.28	32342	
2014-06	91.37	26515	
2014-09	114.2	28790	
2014-12	115.63	21581	
2015-03	123.21	26266	
2015-06	173.13	15663	
2015-09	136.41	18110	
2015-12	138.43	16344	
2016-03	122.22	17999	
2016-06	145.26	22742	
2016-09	146.06	21421	
2016-12	161.06	22252	
2017-02	163.24	22427	
2017-03	165.93	23443	
2017-06	188.49	27400	
2017-09	228.12	33908	
2017-12	291.13	29569	
2018-03	282.02	23693	
2018-06	280.28	24124	
2018-09	225.96	23171	
2018-12	217.74	23699	
2019-03	261.48	27180	
2019-06	309.46	30475	
2019-09	281.39	22279	
2019-12	295.97	25865	
2020-03	281.63	22058	
2020-06	293.44	23115	
2020-09	394.08	26173	
2020-12	407.29	21797	
2021-03	401.64	12589	
2021-06	387.38	9570	
2021-09	370.97	11071	
2021-12	420.58	13542	
2022-03	381.26	13878	
2022-06	394.69	15179	
2022-09	348.66	13055	
2022-12	326.1	12667	
2023-03	309.76	11807	
2023-06	312.38	12092	
2023-09	285.58	11238	
2023-12	284.49	12089	
2024-03	309.92	13401	
2024-06	301.76	12368	
2024-09	261.07	12108	
