month	ct_avg_Tdx收盘价	股东人数
2007-12	64.94	2427	
2008-03	47.8	2459	
2008-06	40.64	2466	
2008-09	24.63	2541	
2008-12	18.93	2857	
2009-03	19.73	2886	
2009-06	27.39	2841	
2009-09	31.91	2789	
2009-12	34.5	2751	
2010-03	28.61	2746	
2010-06	23.28	2811	
2010-09	23.44	2823	
2010-12	24.6	2748	
2011-03	27.88	2731	
2011-06	28.7	2706	
2011-09	25.83	2637	
2011-12	24.99	2614	
2012-03	26.47	2590	
2012-06	23.86	2594	
2012-09	22.05	2591	
2012-12	23.2	2584	
2013-03	22.01	2576	
2013-06	18.69	2568	
2013-09	17.12	2562	
2013-12	16.32	2550	
2014-03	13.38	2545	
2014-06	14.46	2549	
2014-09	15.37	2514	
2014-12	18.33	2511	
2015-03	19.01	2476	
2015-06	22.8	2378	
2015-09	15.33	2386	
2015-12	14.99	2380	
2016-03	14.14	2388	
2016-06	13.76	2375	
2016-09	15.06	2367	
2016-12	16.52	2335	
2017-03	17.8	2305	
2017-06	22	2303	
2017-09	21.05	2258	
2017-12	22.62	2221	
2018-03	22.61	2161	
2018-06	20.76	2161	
2018-09	18.83	2162	
2018-12	18.92	2155	
2019-03	20.3	2148	
2019-06	19.7	2152	
2019-09	19.42	2141	
2019-12	17.52	2130	
2020-03	16.06	2119	
2020-06	15.62	2106	
2020-09	16.28	2076	
2020-12	18.44	2060	
2021-03	18.59	2031	
2021-06	20.08	2015	
2021-09	22.16	1979	
2021-12	21.97	1952	
2022-03	27.46	1934	
2022-06	33.02	1928	
2022-09	31.65	1915	
2022-12	28.52	1906	
2023-06	29.61	1893	
2023-09	30.51	1882	
2023-12	31.09	1862	
2024-03	38.29	1836	
2024-06	43.83	1798	
2024-09	39.45	1781	
