month	ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx收盘价
2019-12	8.95	-0.55	
2020-01	8.9	-0.55	
2020-02	8.35	-0.58	
2020-03	8.8	-0.56	
2020-04	8.08	-0.59	
2020-05	8.22	-0.58	
2020-06	8.21	-0.58	
2020-07	10.89	-0.45	
2020-08	14.13	-0.28	
2020-09	17.34	-0.12	
2020-10	23.54	0.19	
2020-11	26.48	0.34	
2020-12	29.21	0.46	
2021-01	42.27	1.09	
2021-02	38.68	0.9	
2021-03	29.97	0.46	
2021-04	33.22	0.61	
2021-05	33.61	0.62	
2021-06	41.8	1	
2021-07	48.53	1.31	
2021-08	60.08	1.82	
2021-09	58.38	1.71	
2021-10	62.35	1.86	
2021-11	61.26	1.78	
2021-12	53.14	1.4	
2022-01	44.47	1.01	
2022-02	38.66	0.76	
2022-03	30.46	0.39	
2022-04	24.98	0.15	
2022-05	30.76	0.42	
2022-06	38.13	0.76	
2022-07	34.93	0.61	
2022-08	32.96	0.52	
2022-09	30.14	0.39	
2022-10	27.29	0.26	
2022-11	29.83	0.37	
2022-12	30.6	0.41	
2023-01	29.76	0.37	
2023-02	32.84	0.51	
2023-03	29.62	0.37	
2023-04	27.42	0.27	
2023-05	26.14	0.22	
2023-06	24.25	0.15	
2023-07	26.01	0.25	
2023-08	27.33	0.33	
2023-09	26.68	0.31	
2023-10	28.92	0.43	
2023-11	28.34	0.41	
2023-12	25.62	0.28	
2024-01	22.83	0.14	
2024-02	21.82	0.09	
2024-03	23.63	0.17	
2024-04	25.2	0.24	
2024-05	26.69	0.3	
2024-06	25.34	0.23	
2024-07	24.93	0.2	
2024-08	22.41	0.07	
2024-09	24.16	0.14	
2024-10	27.91	0.31	
2024-11	27.16	0.26	
2024-12	26.93	0.24	
2025-01	25.11	0.15	
2025-02	25.28	0.15	
