month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
1999-09	1.41	80.16	
1999-10	1.46	88.62	
1999-11	1.56	95.13	
1999-12	1.43	73.04	
2000-01	1.49	66.68	
2000-02	1.8	93.83	
2000-03	1.85	95.77	
2000-04	2.13	97.05	
2000-05	2.26	95.04	
2000-06	2.39	95.01	
2000-07	2.25	75.94	
2000-08	2.22	66.31	
2000-09	2.01	34.99	
2000-10	2.01	18.65	
2000-11	2.14	32.39	
2000-12	2.23	55.7	
2001-01	2.23	59.95	
2001-02	2.03	7.49	
2001-03	2.1	-4.54	
2001-04	2.07	-20.28	
2001-05	2.07	-43.6	
2001-06	2.17	2.89	
2001-07	2.08	-4.22	
2001-08	1.87	-66.07	
2001-09	1.82	-76.61	
2001-10	1.6	-88.99	
2001-11	1.76	-75.2	
2001-12	1.83	-65.22	
2002-01	1.71	-79.42	
2002-02	1.83	-57.41	
2002-03	1.88	-27.68	
2002-04	1.85	-16.52	
2002-05	1.77	-27.28	
2002-06	1.79	-48.35	
2002-07	1.94	17.47	
2002-08	1.91	34.29	
2002-09	1.89	38.35	
2002-10	1.72	-5.7	
2002-11	1.69	-38.05	
2002-12	1.72	-50	
2003-01	1.75	-52.28	
2003-02	1.83	-22.5	
2003-03	1.96	21.56	
2003-04	2.06	54.95	
2003-05	2.14	70.71	
2003-06	2.05	68.49	
2003-07	1.94	44.88	
2003-08	1.95	40.01	
2003-09	1.89	15.79	
2003-10	1.89	-6.2	
2003-11	1.93	9.78	
2003-12	2.1	50.16	
2004-01	2.36	79.88	
2004-02	2.62	91.56	
2004-03	2.77	93.94	
2004-04	3.19	94.72	
2004-05	2.88	78.4	
2004-06	2.76	64.08	
2004-07	2.72	50.12	
2004-08	2.68	36.24	
2004-09	2.78	27.47	
2004-10	3.29	75.22	
2004-11	3.58	89.69	
2004-12	3.37	77.45	
2005-01	3.46	82.01	
2005-02	3.72	95.88	
2005-03	4.15	95.89	
2005-04	4.49	96.56	
2005-05	4.11	80.04	
2005-06	3.77	52.31	
2005-07	4.01	64.11	
2005-08	4.22	69.14	
2005-09	4.59	88.35	
2005-10	4.64	86.72	
2005-11	4.36	69.6	
2005-12	4.38	55.28	
2006-01	5.26	91.52	
2006-02	5.5	92.6	
2006-03	5.68	93.87	
2006-04	6.8	98.84	
2006-05	8.38	98.61	
2006-06	9.32	96.55	
2006-07	9.36	90.99	
2006-08	8.69	72.63	
2006-09	8.82	68.84	
2006-10	9.16	71.38	
2006-11	9.94	88.23	
2006-12	11.58	94.56	
2007-01	13.94	97.81	
2007-02	13.69	90.12	
2007-03	13.41	83.6	
2007-04	15.63	96	
2007-05	18.94	98.51	
2007-06	21.72	97.58	
2007-07	19.13	80.56	
2007-08	21.5	89.79	
2007-09	25.87	97.63	
2007-10	31.75	99.8	
2007-11	30.83	87.3	
2007-12	33.49	90.71	
2008-01	43.54	98.29	
2008-02	45.46	96.55	
2008-03	42.59	81.55	
2008-04	44.15	83.5	
2008-05	46.55	90.09	
2008-06	41.95	61.61	
2008-07	43.82	58.04	
2008-08	43.82	55.61	
2008-09	43.82	42.25	
2008-10	43.82	33.57	
2008-11	43.82	30.58	
2008-12	42.1	24.34	
2009-01	20.57	-61.31	
2009-02	25.89	-68.66	
2009-03	27.15	-75.45	
2009-04	28.96	-66.54	
2009-05	25.92	-78.08	
2009-06	27.11	-68.59	
2009-07	29.22	-40.26	
2009-08	28.32	-37.88	
2009-09	27.85	-34.9	
2009-10	26.4	-57.81	
2009-11	29.14	-27.13	
2009-12	30.08	17.43	
2010-01	30.53	39.33	
2010-02	28.14	2.74	
2010-03	27.32	-9.86	
2010-04	25.31	-44.18	
2010-05	22.38	-77.46	
2010-06	21.95	-91.17	
2010-07	20.85	-90.95	
2010-08	26.67	-44.52	
2010-09	31.61	5.26	
2010-10	35.34	33.71	
2010-11	34.8	47.69	
2010-12	32.82	50.19	
2011-01	30.66	41.16	
2011-02	30.46	39.58	
2011-03	29.93	29.31	
2011-04	28.94	4.04	
2011-05	28.67	-11.95	
2011-06	29.53	-6.34	
2011-07	30.43	18.11	
2011-08	28.04	-35.02	
2011-09	25.35	-77.08	
2011-10	22.17	-90.63	
2011-11	21.76	-90.71	
2011-12	18.56	-98.58	
2012-01	17.4	-93.21	
2012-02	18.81	-79.64	
2012-03	19.44	-67.05	
2012-04	17.58	-86.45	
2012-05	17.31	-90.67	
2012-06	16.46	-88.66	
2012-07	18.01	-64.81	
2012-08	17.58	-54	
2012-09	16.03	-86.56	
2012-10	14.88	-91.82	
2012-11	12.71	-97.36	
2012-12	13.21	-85.46	
2013-01	14.08	-71.56	
2013-02	14.65	-55.06	
2013-03	14.83	-44.3	
2013-04	14.3	-41.67	
2013-05	12.14	-77.27	
2013-06	10.52	-91.65	
2013-07	9.29	-94.76	
2013-08	9.27	-88.47	
2013-09	10.05	-71.81	
2013-10	9.39	-78.97	
2013-11	9.04	-85.12	
2013-12	9.13	-83.77	
2014-01	8.24	-93.49	
2014-02	8.27	-89.4	
2014-03	8.1	-93.41	
2014-04	8.07	-86.22	
2014-05	8.09	-83.04	
2014-06	8.08	-76.74	
