month	ct_avg_前复权价格	人均持股
1997-12	0.91	1265	
1998-06	1.18	1284	
1998-12	1.22	2103	
1999-06	1.3	2189	
1999-12	1.43	2209	
2000-06	2.39	2180	
2000-12	2.23	1871	
2001-06	2.17	1672	
2001-12	1.83	1708	
2002-03	1.88	1865	
2002-06	1.79	1983	
2002-09	1.89	2058	
2002-12	1.72	3147	
2003-03	1.96	3369	
2003-06	2.05	6003	
2003-09	1.89	6127	
2003-12	2.1	6009	
2004-03	2.77	8381	
2004-06	2.76	13770	
2004-09	2.78	12792	
2004-12	3.37	0	
2005-03	4.15	0	
2005-06	3.77	15373	
2005-09	4.59	16863	
2005-12	4.38	18529	
2006-03	5.68	19252	
2006-06	9.32	16230	
2006-09	8.82	20663	
2006-12	11.58	20640	
2007-03	13.41	10328	
2007-06	21.72	19215	
2007-09	25.87	19963	
2007-12	33.49	22604	
2008-03	42.59	26742	
2008-06	41.95	28691	
2008-09	43.82	28658	
2008-12	42.1	28468	
2009-03	27.15	11001	
2009-06	27.11	5547	
2009-09	27.85	5760	
2009-12	30.08	9588	
2010-03	27.32	7551	
2010-06	21.95	6317	
2010-09	31.61	8469	
2010-12	32.82	9913	
2011-03	29.93	5656	
2011-06	29.53	7285	
2011-09	25.35	8697	
2011-12	18.56	8402	
2012-03	19.44	7267	
2012-06	16.46	7266	
2012-09	16.03	7636	
2012-12	13.21	7692	
2013-03	14.83	8044	
2013-06	10.52	7617	
2013-09	10.05	7334	
2013-12	9.13	7612	
2014-03	8.1	7692	
2014-06	8.08	7910	
2014-09	9.7	10161	
2014-12	12.12	14680	
2015-03	15.12	16733	
2015-06	17.16	27553	
2015-09	9.67	32446	
2015-12	12.99	22845	
2016-03	9.68	24367	
2016-06	10.76	23713	
2016-09	10.48	25776	
2016-12	10.61	27695	
2017-03	10.07	29939	
2017-04	9.43	30096.5	
2017-06	8.04	37731	
2017-08	9.3	39110	
2017-09	12.7	21544	
2017-10	13.33	22527	
2017-11	11.66	22737	
2017-12	10.72	22171.5	
2018-03	10.58	25957.33	
2018-04	10.65	27237	
2018-05	10.32	27909	
2018-06	9.36	28508.33	
2018-07	7.96	28617.33	
2018-08	6.34	28438	
2018-09	7.23	27730	
2018-10	6.27	28723.67	
2018-11	6.58	29420	
2018-12	6.5	30297	
2019-01	5.2	27977	
2019-02	5.42	28474.33	
2019-03	5.95	29158.5	
2019-04	5.9	30904.33	
2019-05	5.89	33772.33	
2019-06	5.42	34306.25	
2019-07	5.26	34817	
2019-08	5.09	35636.33	
2019-09	5.96	37439.33	
2019-10	6.98	37870.33	
2019-11	7.15	39474.33	
2019-12	6.62	40269.67	
2020-01	7.11	40577.5	
2020-02	7.11	43043.33	
2020-03	8.09	61099	
2020-04	15.02	92529.33	
2021-09	56.31	19004	
2021-12	49.55	23711	
2022-03	48.96	23967	
2022-06	48.44	20857	
2022-09	41.14	18278	
2022-12	38.14	19369	
2023-03	36.87	20521	
2023-06	30.5	21281	
2023-09	28	22728	
2023-12	24.61	22470	
2024-03	26.28	24130	
2024-06	27.16	24646	
2024-09	24.12	24983	
