month	ct_avg_Tdx收盘价	股东人数
2008-05	44.42	5305	
2008-06	42.67	2538	
2008-09	31.02	2250	
2008-12	34.12	4495	
2009-03	42.27	5965	
2009-06	42.03	4536	
2009-09	43.88	7203	
2009-12	67.82	6438	
2010-03	79.44	7144	
2010-06	44.47	6410	
2010-09	76.38	5590	
2010-12	86.17	5296	
2011-03	74.62	7595	
2011-06	48.6	6439	
2011-09	45.69	8374	
2011-12	47.41	6050	
2012-01	44.01	6836	
2012-03	47.78	7626	
2012-06	30.65	10179	
2012-09	40.74	11133	
2012-12	42.31	8846	
2013-03	62.9	13308	
2013-06	38.57	30927	
2013-09	44.16	21601	
2013-12	41.21	23945	
2014-03	29.37	51723	
2014-06	25.25	50505	
2014-09	27.16	70673	
2014-12	23.61	75112	
2015-03	31.57	49374	
2015-06	39.35	46668	
2015-09	33.21	29013	
2015-12	38.16	31693	
2016-03	32.93	35486	
2016-06	13.01	48232	
2016-09	15.07	43486	
2016-12	13.58	58400	
2017-03	15.97	43470	
2017-06	21.67	43412	
2017-09	24.77	53530	
2017-12	23.97	65118	
2018-03	27.66	69555	
2018-06	22.92	69840	
2018-09	14.91	102455	
2018-12	12.58	124431	
2019-03	16.87	124488	
2019-06	13.4	127017	
2019-09	17.62	106822	
2019-12	18.42	107595	
2020-03	17.93	159822	
2020-06	17.98	142107	
2020-09	21.45	129894	
2020-12	20.25	148905	
2021-03	22.59	143572	
2021-06	21.71	153835	
2021-09	23.5	107122	
2021-12	24.66	101625	
2022-03	17.41	153916	
2022-06	16.07	165220	
2022-09	13.9	177704	
2022-12	11.99	185289	
2023-03	18.52	117469	
2023-06	20.5	188544	
2023-09	21.01	134126	
2023-12	18.78	141936	
2024-03	19.47	173354	
2024-06	16.08	181100	
2024-09	14.14	182930	
