month	ct_avg_前复权价格	股东人数
2008-05	1.06	5305	
2008-06	1.01	2538	
2008-09	0.74	2250	
2008-12	0.81	4495	
2009-03	1.01	5965	
2009-06	1.01	4536	
2009-09	1.05	7203	
2009-12	1.62	6438	
2010-03	1.9	7144	
2010-06	2.15	6410	
2010-09	3.68	5590	
2010-12	4.16	5296	
2011-03	3.6	7595	
2011-06	3.95	6439	
2011-09	4.43	8374	
2011-12	4.54	6050	
2012-01	4.29	6836	
2012-03	4.64	7626	
2012-06	5.97	10179	
2012-09	7.94	11133	
2012-12	8.25	8846	
2013-03	12.26	13308	
2013-06	15.07	30927	
2013-09	17.26	21601	
2013-12	16.1	23945	
2014-03	11.48	51723	
2014-06	9.9	50505	
2014-09	10.65	70673	
2014-12	9.26	75112	
2015-03	12.38	49374	
2015-06	15.47	46668	
2015-09	13.05	29013	
2015-12	15	31693	
2016-03	12.94	35486	
2016-06	12.86	48232	
2016-09	14.9	43486	
2016-12	13.42	58400	
2017-03	15.79	43470	
2017-06	21.5	43412	
2017-09	24.6	53530	
2017-12	23.8	65118	
2018-03	27.47	69555	
2018-06	22.95	69840	
2018-09	14.93	102455	
2018-12	12.6	124431	
2019-03	16.89	124488	
2019-06	13.49	127017	
2019-09	17.74	106822	
2019-12	18.55	107595	
2020-03	18.05	159822	
2020-06	18.25	142107	
2020-09	21.78	129894	
2020-12	20.56	148905	
2021-03	22.93	143572	
2021-06	22.3	153835	
2021-09	24.13	107122	
2021-12	25.33	101625	
2022-03	17.63	153916	
2022-06	16.79	165220	
2022-09	14.52	177704	
2022-12	12.52	185289	
2023-03	19.34	117469	
2023-06	21.64	188544	
2023-09	22.22	134126	
2023-12	20.15	141936	
2024-03	20.89	173354	
2024-06	17.63	181100	
2024-09	15.58	182930	
