month	ct_avg_前复权价格	人均持股
2016-09	1.56	418.5	
2016-12	2.03	1271	
2017-02	1.65	1391	
2017-03	1.65	1392	
2017-06	2.24	2477	
2017-09	3.56	7691	
2017-12	2.97	8301	
2018-03	3.5	9066	
2018-06	2.93	15410	
2018-09	2.5	15812	
2018-12	3.12	16307	
2019-03	3.78	15350	
2019-06	3.07	10365	
2019-09	3.28	32605	
2019-12	4.71	26890	
2020-03	5.26	19124	
2020-06	6.52	25159	
2020-09	8.93	25780	
2020-12	12.62	24777	
2021-02	13.14	11962	
2021-03	11.85	14817	
2021-06	19.99	21439	
2021-09	29.6	23991	
2021-12	25.94	15979	
2022-03	23.52	17067	
2022-06	25.05	22661	
2022-09	19.1	16803	
2022-12	14.17	13796	
2023-02	14.29	9847	
2023-03	11.61	8836	
2023-06	9.75	9015	
2023-09	6.49	8857	
2023-12	5.74	8406	
2024-03	4.63	8172	
2024-06	3.89	8487	
2024-09	2.93	8628	
