month	ct_avg_Tdx收盘价	人均持股
2009-10	43.28	248.5	
2009-12	41.78	1242	
2010-03	34.24	1437	
2010-06	29.52	1668	
2010-09	30.15	1708	
2010-12	27.41	2195	
2011-03	24.57	2290	
2011-06	15.98	4035	
2011-09	16.55	3634	
2011-12	14.72	3550	
2012-01	12.66	3552	
2012-03	14.91	3696	
2012-06	13.67	3929	
2012-09	11.7	4016	
2012-12	9.98	4097	
2013-03	14.03	8265	
2013-06	24.45	10342	
2013-09	36.78	12854	
2013-12	34.05	14349	
2014-03	40.57	10870	
2014-06	16.06	10768	
2014-09	17.72	9198	
2014-12	16.45	9805	
2015-03	17.56	13611	
2015-06	33.39	24430	
2015-09	16.93	15408	
2015-12	30.74	9456	
2016-03	23	10116	
2016-06	44.44	8639	
2016-09	35.11	8551	
2016-12	29.88	9292	
2017-03	36.1	9079	
2017-04	34.83	9644.5	
2017-06	16.21	14340	
2017-08	23.2	9588	
2017-09	25.67	8570	
2017-10	23.88	9212	
2017-11	20.43	8697.5	
2017-12	18.86	8231	
2018-03	18.02	8817.5	
2018-04	17.05	9287.5	
2018-05	18.48	10239.5	
2018-06	17.39	10565.67	
2018-07	16.53	10510	
2018-08	14.38	10472	
2018-09	13.87	10876	
2018-10	12.01	10703	
2018-11	13.18	10896	
2018-12	15.75	11476.75	
2019-01	16.58	11251	
2019-02	19.17	12484	
2019-03	23.68	14587.25	
2019-04	27.66	18301	
2019-05	25.3	17169.67	
2019-06	25.82	18455.25	
2019-07	31.29	20419	
2019-08	32.32	19997	
2019-09	37.3	16125	
2019-10	34.06	11116.33	
2019-11	40.79	14470.67	
2019-12	50.9	14148.67	
2020-01	54.78	13361	
2020-02	70.35	12347.67	
2020-03	62.75	11280.5	
2020-04	62.22	11685	
2020-05	64.91	12192	
2020-06	51.64	21845	
2020-07	54.34	15314	
2020-08	52.74	15113.67	
2020-09	48.72	15327.5	
2020-10	54.43	16467.33	
2020-11	63.25	21954.67	
2020-12	70.19	23136.33	
2021-01	99.1	21261	
2021-02	100.73	17654.33	
2021-03	79.49	16975	
2021-04	78.62	16839	
2021-05	97.73	19286.67	
2021-06	103.67	18012.33	
2021-07	115.85	16155.5	
2021-08	107.51	12422	
2021-09	94.4	11216	
2021-10	110.18	14417.67	
2021-11	130.4	18366	
2021-12	130.23	18605.67	
2022-01	103.31	15743.33	
2022-02	87.63	13307	
2022-03	78.58	10988	
2022-04	68.78	11354	
2022-05	74.64	11766	
2022-06	97.86	15085	
2022-07	98.97	15312	
2022-08	102.66	15669.33	
2022-09	90.2	14083.33	
2022-10	90.2	14337	
2022-11	87.61	14031.67	
2022-12	88.92	16027.75	
2023-01	85.79	15148.5	
2023-02	81.15	12174.5	
2023-03	68.23	10808.67	
2023-04	66.55	10577	
2023-05	66.6	11035	
2023-06	60	10943.33	
2023-07	57.83	11205.5	
2023-08	54.75	11390	
2023-09	46.91	11156	
2023-12	40.33	11352.33	
2024-01	38.97	11256.5	
2024-02	34.88	11424	
2024-03	40.33	11491.25	
2024-04	37.36	11308	
2024-05	37.97	11628.5	
2024-06	41.63	12587.5	
2024-09	34.23	11844	
