month	ct_avg_前复权价格	股东人数
2020-09	0.99	23863.5	
2020-12	1.78	22275	
2021-03	2.25	55099	
2021-06	3.6	47976	
2021-09	2.96	47699	
2021-12	2.99	51090	
2022-03	2.42	43655	
2022-06	2.93	37291	
2022-09	2.73	33204	
2022-12	2.84	32468.67	
2023-01	3.19	30150	
2023-02	3.2	30261	
2023-03	2.91	31461.67	
2023-04	2.94	30615.33	
2023-05	2.65	33463	
2023-06	2.39	37365.67	
2023-07	2.45	36610.67	
2023-08	2.36	40801.33	
2023-09	2.27	40628.75	
2023-10	1.94	42457.67	
2023-11	1.75	44916	
2023-12	1.51	47347.75	
2024-01	1.62	56205.33	
2024-02	1.7	52003	
2024-03	1.81	53721.75	
2024-04	1.62	53957.33	
2024-05	1.64	56590	
2024-06	1.43	58747.75	
2024-07	1.26	58614.33	
2024-08	1.22	57745.67	
2024-09	1.13	58620	
2024-10	1.67	61440.33	
2024-11	1.66	61875	
2024-12	1.58	61309.67	
2025-01	1.31	60901.67	
