month	票值价格	deviate_avg_12_票值价格
2002-12	6.8	-0.16	
2003-01	7.5	-0.07	
2003-02	7.56	-0.06	
2003-03	7.55	-0.05	
2003-04	7.53	-0.04	
2003-05	7.77	-0.01	
2003-06	7.25	-0.06	
2003-07	7.15	-0.06	
2003-08	6.88	-0.07	
2003-09	6.6	-0.09	
2003-10	6.49	-0.1	
2003-11	6.67	-0.07	
2003-12	7.15	0	
2004-01	7.6	0.06	
2004-02	8	0.11	
2004-03	8.47	0.16	
2004-04	7.5	0.03	
2004-05	7.12	-0.02	
2004-06	6.27	-0.12	
2004-07	6.15	-0.13	
2004-08	5.95	-0.15	
2004-09	6.18	-0.11	
2004-10	5.76	-0.17	
2004-11	5.86	-0.14	
2004-12	5.42	-0.19	
2005-01	5.21	-0.2	
2005-02	5.68	-0.1	
2005-03	5.13	-0.15	
2005-04	5.01	-0.14	
2005-05	4.55	-0.19	
2005-06	4.55	-0.17	
2005-07	4.52	-0.15	
2005-08	4.76	-0.09	
2005-09	4.74	-0.07	
2005-10	4.43	-0.11	
2005-11	4.4	-0.1	
2005-12	4.6	-0.04	
2006-01	4.96	0.04	
2006-02	5.06	0.07	
2006-03	4.98	0.06	
2006-04	5.35	0.13	
2006-05	6.01	0.24	
2006-06	6	0.2	
2006-07	5.01	0	
2006-08	5.06	0	
2006-09	5.32	0.04	
2006-10	4.8	-0.06	
2006-11	5.47	0.05	
2006-12	6.97	0.29	
2007-01	8	0.41	
2007-02	8.36	0.41	
2007-03	9.41	0.49	
2007-04	11.27	0.65	
2007-05	12.06	0.65	
2007-06	11.19	0.45	
2007-07	13.18	0.57	
2007-08	15.39	0.66	
2007-09	16.47	0.61	
2007-10	18.55	0.63	
2007-11	17.6	0.42	
2007-12	19.04	0.42	
2008-01	15.87	0.13	
2008-02	15.79	0.08	
2008-03	12.53	-0.16	
2008-04	13.17	-0.13	
2008-05	12.1	-0.2	
2008-06	9.61	-0.36	
2008-07	9.72	-0.34	
2008-08	8.34	-0.41	
2008-09	7.97	-0.4	
2008-10	6	-0.51	
2008-11	6.49	-0.43	
2008-12	6.31	-0.39	
2009-01	6.9	-0.28	
2009-02	7.23	-0.18	
2009-03	8.24	-0.03	
2009-04	8.57	0.06	
2009-05	9.06	0.15	
2009-06	10.12	0.28	
2009-07	11.53	0.43	
2009-08	9.04	0.11	
2009-09	9.37	0.14	
2009-10	10.11	0.18	
2009-11	10.84	0.21	
2009-12	11.08	0.19	
2010-01	10.1	0.05	
2010-02	10.33	0.05	
2010-03	10.52	0.05	
2010-04	9.67	-0.05	
2010-05	8.66	-0.14	
2010-06	7.93	-0.2	
2010-07	7.81	-0.19	
2010-08	7.73	-0.19	
2010-09	7.75	-0.17	
2010-10	8.72	-0.06	
2010-11	8.19	-0.09	
2010-12	8.16	-0.07	
2011-01	8.16	-0.06	
2011-02	8.52	0	
2011-03	8.59	0.03	
2011-04	8.62	0.05	
2011-05	7.98	-0.02	
2011-06	7.96	-0.03	
2011-07	7.72	-0.06	
2011-08	7.34	-0.1	
2011-09	6.76	-0.16	
2011-10	7.08	-0.11	
2011-11	6.68	-0.14	
2011-12	6.32	-0.17	
2012-01	6.6	-0.12	
2012-02	7	-0.05	
2012-03	6.51	-0.1	
2012-04	6.89	-0.03	
2012-05	6.79	-0.03	
2012-06	6.33	-0.07	
2012-07	5.97	-0.11	
2012-08	5.81	-0.11	
2012-09	5.92	-0.09	
2012-10	5.88	-0.08	
2012-11	5.62	-0.11	
2012-12	6.45	0.02	
2013-01	6.78	0.07	
2013-02	6.73	0.07	
2013-03	6.36	0.01	
2013-04	6.19	-0.01	
2013-05	6.52	0.05	
2013-06	5.54	-0.1	
2013-07	5.56	-0.09	
2013-08	5.83	-0.05	
2013-09	6.05	-0.01	
2013-10	5.95	-0.03	
2013-11	6.16	0	
2013-12	5.87	-0.04	
